,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
433,0.0,3.0,2.0,4.0,4.0,4.0,20.0,5.0,5.0,4.0,5.0,4.0,40.0,12.0,5.0,33.0,23.0,39.0,160.0,124.0,41.0,265.0,583.0,446.0,1500.0,1500.0,1500.0
434,0.0,5.0,3.0,0.0,5.0,3.0,4.0,5.0,3.0,66.0,8.0,4.0,4.0,32.0,6.0,27.0,54.0,12.0,267.0,156.0,29.0,805.0,1024.0,257.0,1500.0,1500.0,1500.0
435,0.0,4.0,4.0,0.0,4.0,3.0,2.0,8.0,4.0,6.0,18.0,6.0,9.0,87.0,11.0,7.0,71.0,6.0,99.0,192.0,17.0,243.0,397.0,412.0,1500.0,1500.0,1500.0
436,0.0,3.0,2.0,4.0,4.0,2.0,0.0,4.0,4.0,0.0,33.0,5.0,121.0,44.0,8.0,70.0,46.0,18.0,67.0,285.0,117.0,1500.0,1280.0,238.0,1500.0,1500.0,1500.0
437,0.0,3.0,3.0,0.0,4.0,3.0,0.0,46.0,4.0,54.0,22.0,4.0,46.0,8.0,6.0,78.0,28.0,21.0,81.0,106.0,64.0,619.0,734.0,396.0,1500.0,1500.0,1500.0
438,0.0,15.0,2.0,11.0,4.0,3.0,3.0,13.0,5.0,35.0,15.0,5.0,23.0,17.0,6.0,57.0,44.0,20.0,95.0,138.0,32.0,834.0,328.0,266.0,1500.0,1500.0,1500.0
439,140.0,7.0,4.0,0.0,20.0,3.0,18.0,5.0,4.0,24.0,10.0,5.0,37.0,8.0,21.0,38.0,58.0,18.0,198.0,76.0,24.0,275.0,295.0,313.0,1500.0,1500.0,1500.0
440,3.0,5.0,3.0,17.0,3.0,3.0,18.0,5.0,3.0,4.0,3.0,3.0,17.0,8.0,5.0,54.0,40.0,13.0,33.0,100.0,69.0,581.0,528.0,268.0,1500.0,1500.0,1500.0
441,2.0,3.0,3.0,29.0,4.0,5.0,0.0,8.0,3.0,36.0,6.0,5.0,132.0,31.0,12.0,31.0,43.0,29.0,175.0,83.0,39.0,227.0,949.0,288.0,1500.0,1500.0,1500.0
442,0.0,3.0,3.0,6.0,8.0,3.0,13.0,6.0,4.0,9.0,6.0,5.0,33.0,21.0,7.0,210.0,69.0,14.0,203.0,184.0,96.0,347.0,653.0,233.0,1500.0,1500.0,1500.0
443,3.0,8.0,4.0,10.0,5.0,5.0,0.0,4.0,3.0,40.0,45.0,4.0,10.0,16.0,6.0,90.0,16.0,23.0,246.0,158.0,74.0,661.0,530.0,160.0,1500.0,1500.0,1500.0
444,3.0,4.0,3.0,6.0,11.0,3.0,4.0,26.0,10.0,56.0,29.0,4.0,52.0,23.0,4.0,20.0,15.0,10.0,190.0,60.0,78.0,1152.0,1031.0,281.0,1500.0,1500.0,1500.0
445,5.0,3.0,3.0,6.0,4.0,3.0,3.0,4.0,4.0,5.0,60.0,4.0,241.0,6.0,5.0,54.0,43.0,27.0,109.0,217.0,64.0,285.0,971.0,590.0,1500.0,1500.0,1500.0
