,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
47,,,,,,,,,,,,,209.0,,,268.0,,,464.0,208.0,,99.0,76.0,476.0,13.0,59.0,86.0
48,,,,331.0,,,,,,,,,,,,,,,141.0,237.0,911.0,164.0,316.0,197.0,23.0,46.0,120.0
49,,,,,,,,,,,,,,,,125.0,339.0,,525.0,401.0,1079.0,75.0,255.0,246.0,45.0,67.0,111.0
50,,,,,,,,,,,,,846.0,758.0,,299.0,,,195.0,221.0,864.0,60.0,210.0,508.0,41.0,36.0,130.0
51,,,,,,,,,,273.0,,,,,,,680.0,,770.0,980.0,1159.0,32.0,242.0,352.0,371.0,75.0,146.0
52,,,,,,,,,,,,,,,,693.0,,,209.0,674.0,,321.0,242.0,660.0,77.0,27.0,99.0
53,,,,,,,,,,,,,268.0,352.0,,319.0,,,248.0,530.0,1081.0,441.0,232.0,478.0,78.0,139.0,224.0
54,,,,,,,,,,,,,513.0,,,421.0,,,740.0,92.0,1150.0,508.0,187.0,408.0,34.0,33.0,103.0
55,,,,,,,,,,,,,,1051.0,,,,,859.0,575.0,1143.0,129.0,172.0,361.0,80.0,51.0,250.0
56,,,,,,,,,,,,,783.0,,,120.0,700.0,,361.0,167.0,989.0,56.0,356.0,372.0,92.0,71.0,109.0
57,,,,,,,,,,,,,,,,,,,251.0,753.0,966.0,29.0,48.0,388.0,45.0,90.0,54.0
58,,,,,,,,,,,,,506.0,,,648.0,,,119.0,558.0,,628.0,171.0,526.0,32.0,59.0,122.0
59,,,,,,,,,,,,,287.0,,,636.0,88.0,,66.0,276.0,,103.0,263.0,334.0,33.0,74.0,168.0
60,,,,,,,,,,,,,,,,,1077.0,,551.0,319.0,,139.0,177.0,317.0,34.0,57.0,82.0
61,,,,,,,,,,,,,,,,920.0,,,67.0,110.0,602.0,64.0,173.0,381.0,21.0,37.0,102.0
62,,,,,,,,,,,,,,,,,,,117.0,256.0,,76.0,157.0,619.0,34.0,43.0,143.0
63,,,,,,,,,,,,,,,,1176.0,,,337.0,354.0,,63.0,115.0,387.0,66.0,72.0,96.0
64,,,,966.0,,,,,,,,,,,,588.0,,,320.0,508.0,,48.0,454.0,494.0,64.0,44.0,114.0
65,,,,,,,,,,,,,,,,228.0,767.0,,102.0,269.0,1174.0,197.0,103.0,306.0,25.0,19.0,66.0
66,,,,,,,,,,,1089.0,,,,,281.0,874.0,,118.0,901.0,357.0,51.0,202.0,359.0,28.0,18.0,137.0
67,,,,,,,,,,,,,,,,953.0,618.0,1023.0,37.0,63.0,,131.0,115.0,538.0,86.0,58.0,139.0
68,,,,,,,,,,548.0,,,,,,,,,387.0,712.0,,79.0,84.0,335.0,123.0,32.0,146.0
69,,718.0,,,,,,,,450.0,,,1171.0,,,,915.0,,,163.0,677.0,19.0,122.0,181.0,119.0,77.0,98.0
70,,,,,,,,,,,,,,,,1174.0,1153.0,,856.0,564.0,591.0,271.0,46.0,665.0,107.0,44.0,136.0
71,,,,,,,,,,,,,141.0,,,516.0,,,144.0,710.0,1136.0,141.0,117.0,307.0,78.0,134.0,78.0
72,,,,,,,,,,,,,,,,255.0,,,166.0,31.0,,173.0,45.0,535.0,137.0,33.0,131.0
73,,,,,868.0,,,,,,,,,,,994.0,997.0,,59.0,459.0,1005.0,191.0,699.0,232.0,24.0,147.0,215.0
74,,,,831.0,,,,,,,,,237.0,730.0,,712.0,286.0,,222.0,354.0,1103.0,65.0,151.0,257.0,55.0,22.0,139.0
75,,,,,,,,,,,,,523.0,,,1029.0,1137.0,,289.0,977.0,985.0,143.0,284.0,336.0,50.0,102.0,187.0
76,,,,,,,,,,,,,,,,,157.0,,488.0,406.0,,207.0,185.0,461.0,94.0,72.0,143.0
77,,,,,,,,,,,,,525.0,,,,265.0,,243.0,579.0,910.0,261.0,190.0,279.0,40.0,31.0,169.0
78,,,,,,,,,,,,,,,,155.0,709.0,,172.0,574.0,,121.0,249.0,181.0,54.0,53.0,124.0
79,,,,,,,,,,,,,363.0,696.0,,,589.0,,640.0,605.0,,171.0,306.0,280.0,157.0,78.0,173.0
80,,,,,,,,,,,,,,448.0,,304.0,909.0,,138.0,551.0,759.0,228.0,169.0,326.0,58.0,93.0,203.0
81,,,,,,,,,,,308.0,,,,,1110.0,1139.0,,761.0,789.0,,520.0,177.0,423.0,46.0,27.0,125.0
82,,,,,,,,,,,,,,1027.0,,384.0,846.0,,353.0,463.0,330.0,177.0,79.0,285.0,54.0,61.0,123.0
83,,,,,,,,,,,,,,,,,1075.0,,226.0,807.0,,87.0,369.0,213.0,29.0,49.0,211.0
84,,,,,,,,,,,,,,,,298.0,,,177.0,433.0,1048.0,106.0,226.0,297.0,35.0,66.0,142.0
85,,,,,,,,,,52.0,,,281.0,,,,,,194.0,,,99.0,145.0,377.0,179.0,49.0,142.0
86,,,,,,,,,,,,,782.0,,,133.0,,,449.0,794.0,1146.0,66.0,154.0,560.0,76.0,89.0,157.0
87,,,,,,,,,,,,,,,,409.0,468.0,,305.0,493.0,1148.0,61.0,478.0,218.0,21.0,63.0,218.0
88,,,,,,,,,,,,,,,,233.0,429.0,,1180.0,557.0,,158.0,260.0,409.0,19.0,67.0,157.0
89,,,,,,,,,,,,,,,,215.0,1096.0,,87.0,367.0,771.0,304.0,258.0,285.0,45.0,18.0,200.0
90,,,,,,,,,,,1005.0,,,,,1149.0,,1195.0,483.0,277.0,,344.0,113.0,436.0,42.0,65.0,109.0
91,,,,,,,,,,,,,,,,,,,53.0,405.0,,30.0,81.0,302.0,35.0,52.0,158.0
92,,,,,,,,1011.0,,,,,179.0,,,,1108.0,,636.0,659.0,1156.0,31.0,123.0,389.0,78.0,58.0,85.0
93,,,,,,,,,,,,,,,,122.0,,,216.0,380.0,1101.0,187.0,102.0,177.0,150.0,24.0,107.0
94,,,,,,,457.0,,,,,,663.0,,,121.0,,,122.0,42.0,541.0,79.0,72.0,477.0,52.0,147.0,171.0
95,,,,,,,,,,,,,,,,29.0,,,303.0,623.0,,46.0,73.0,291.0,58.0,90.0,147.0
96,,,,,,,,,,1132.0,,,,,,954.0,209.0,,339.0,419.0,970.0,197.0,404.0,331.0,18.0,60.0,172.0
97,,,,,,,,,,,,,616.0,1100.0,,555.0,,,,340.0,933.0,132.0,179.0,380.0,45.0,87.0,176.0
98,,,,,,,,,,,,,1075.0,,,774.0,369.0,,244.0,418.0,,202.0,216.0,241.0,247.0,114.0,132.0
99,,,,,,,,,,291.0,,,1105.0,,,107.0,352.0,,121.0,176.0,982.0,190.0,159.0,351.0,130.0,102.0,91.0
100,,,,,,,,,,,,,,,,576.0,1014.0,,628.0,319.0,932.0,65.0,169.0,324.0,48.0,36.0,117.0
101,,,,,,,,,,,,,640.0,,,,326.0,,550.0,604.0,,184.0,23.0,416.0,184.0,45.0,125.0
102,738.0,,,,,,,,,183.0,,,,,,,957.0,,349.0,537.0,,128.0,358.0,205.0,110.0,33.0,109.0
103,,,,,,,,,,,,,,,,1071.0,634.0,,272.0,233.0,,172.0,215.0,463.0,26.0,16.0,130.0
104,,,,,,,,,,,,,,,,,822.0,,435.0,394.0,753.0,125.0,257.0,587.0,94.0,16.0,135.0
105,,,,,,,,,,,,,,,,971.0,,,135.0,516.0,732.0,226.0,209.0,514.0,81.0,96.0,183.0
106,,,,,,,,,,,,,408.0,,,457.0,,,605.0,201.0,1083.0,118.0,218.0,555.0,29.0,28.0,122.0
107,,,,,,,,,,,,,,,,,,,187.0,472.0,889.0,125.0,202.0,494.0,54.0,76.0,169.0
108,,,,,,,,,,,,,,,,,18.0,,793.0,619.0,1049.0,185.0,197.0,328.0,31.0,63.0,60.0
109,,,,262.0,,,,,,,,,,,,,,,786.0,572.0,,814.0,93.0,436.0,33.0,56.0,144.0
110,,,,,,,,,,,,,,,,186.0,1074.0,,790.0,412.0,,325.0,187.0,233.0,103.0,89.0,142.0
111,,,,,,,,,,,,,266.0,,,,,,79.0,173.0,1157.0,58.0,48.0,389.0,49.0,130.0,114.0
112,,,,,,,,,,319.0,,,159.0,916.0,,360.0,,,1084.0,298.0,739.0,82.0,56.0,535.0,75.0,37.0,169.0
113,,,,,,,658.0,,,,,,,,,852.0,,,191.0,371.0,,175.0,109.0,336.0,37.0,72.0,128.0
114,,,,,,,,,,,,,,,,,,,463.0,150.0,,58.0,287.0,335.0,61.0,34.0,244.0
115,,,,,,,,,,,,,,,,142.0,,,329.0,523.0,,255.0,192.0,449.0,50.0,12.0,88.0
116,,,,,,,,,,,,,,256.0,,,,,871.0,374.0,,189.0,209.0,514.0,60.0,22.0,75.0
117,,,,902.0,,,,,,,,,,,,300.0,1000.0,,912.0,476.0,,38.0,453.0,204.0,37.0,16.0,220.0
118,,,,,,,,,,,,,276.0,,,583.0,906.0,231.0,395.0,1053.0,,80.0,191.0,278.0,95.0,30.0,95.0
119,,,,,,,,,,,389.0,,,,,,,,471.0,712.0,630.0,481.0,142.0,348.0,57.0,46.0,137.0
120,,,,,,,,,,,,,,,,,,,546.0,1065.0,,126.0,423.0,224.0,144.0,69.0,159.0
121,,,,,,,,,,,,,,,,,,,308.0,1042.0,1006.0,130.0,122.0,460.0,115.0,67.0,148.0
122,,,,,,,,,,,,,796.0,,,,1107.0,,536.0,592.0,,192.0,186.0,326.0,26.0,77.0,164.0
123,,,,,,,,,,,,,,,,457.0,603.0,,374.0,743.0,,23.0,268.0,488.0,63.0,55.0,177.0
124,,,,,,,,,,,,,,,,123.0,200.0,,272.0,505.0,1095.0,212.0,140.0,399.0,103.0,69.0,187.0
125,,,,,,,,,,,,,,,,,,,843.0,297.0,,430.0,265.0,287.0,28.0,25.0,118.0
126,,,,,,,,,,,,,,,,129.0,,,81.0,507.0,,26.0,307.0,385.0,41.0,104.0,128.0
127,,,,,,,1125.0,,,,,,776.0,,,,,,911.0,333.0,868.0,655.0,126.0,720.0,89.0,59.0,157.0
