,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,82.0,0.0,0.0,163.0,310.0,106.00000000000001,1710.0,1967.9999999999998,565.0000000000001,3518.0,6686.0,6859.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,208.0,99.0,1495.0,1354.0,400.00000000000006,4849.0,7658.0,4676.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,180.0,0.0,0.0,360.0,151.0,110.0,753.0,1604.0,862.0,4997.0,8141.0,5588.000000000001
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.00000000000001,0.0,135.0,53.0,0.0,0.0,543.0,54.0,657.0,1336.0,737.0000000000001,4810.0,7834.0,5482.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,130.0,262.0,63.0,969.0,1240.0,709.0,4381.0,7200.0,4777.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,92.0,0.0,0.0,162.0,219.0,0.0,381.0,1643.0,895.0,5059.0,7165.0,5766.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,93.0,75.00000000000001,0.0,167.0,136.0,0.0,1156.0,1133.0,761.0,5733.999999999999,6492.0,6235.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,64.0,0.0,124.0,82.0,0.0,1090.0,1228.0,422.00000000000006,3913.0,7849.0,6701.000000000001
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,113.0,0.0,169.0,175.0,0.0,1480.9999999999998,1733.0,478.99999999999994,4460.0,8110.0,6084.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,130.0,0.0,322.0,311.0,56.0,664.0,1521.0,564.0,3859.0,7803.0,5814.0
10,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,55.00000000000001,0.0,0.0,200.0,51.0,1151.0,1102.9999999999998,933.0000000000001,5249.0,7261.0,6163.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,260.0,324.0,150.0,592.0,1507.9999999999998,734.9999999999999,3140.0,7563.0,4871.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,190.0,0.0,0.0,596.0,69.0,75.00000000000001,883.0,1017.9999999999999,885.0,3337.0000000000005,8552.0,5027.0
