,str0.3_den0.05,str0.03_den0.5,str0.003_den5.0,str0.3_den0.11,str0.03_den1.1,str0.003_den11.0,str0.3_den0.23,str0.03_den2.3000000000000003,str0.003_den23.0,str0.3_den0.5,str0.03_den5.0,str0.003_den50.0,str0.3_den1.08,str0.03_den10.8,str0.003_den108.0,str0.3_den2.32,str0.03_den23.2,str0.003_den231.99999999999997,str0.3_den5.0,str0.03_den50.0,str0.003_den500.0,str0.3_den10.77,str0.03_den107.69999999999999,str0.003_den1077.0,str0.3_den23.21,str0.03_den232.10000000000002,str0.003_den2321.0
60,,,,,,,,,,,,,,,,,,,,,,634.0,601.0,785.0,98.0,94.0,262.0
61,,,,,,,,,,,,,,,,,,,,,,290.0,347.0,653.0,138.0,125.0,311.0
62,,,,,,,,,,,,,,,,,,,382.0,,,224.0,592.0,1035.0,113.0,163.0,461.0
63,,,,,,,,,,,,,,,,,,,766.0,507.0,,432.0,455.0,640.0,152.0,319.0,317.0
64,,,,,,,,,,,,,,,,,,,588.0,,,184.0,806.0,1034.0,137.0,192.0,232.0
65,,,,,,,,,,,,,,,,,,,,900.0,,754.0,246.0,773.0,212.0,93.0,309.0
66,,,,,,,,,,,,,,,,,,,278.0,,,156.0,450.0,554.0,246.0,45.0,333.0
67,,,,,,,,,,,,,,,,1194.0,,,304.0,,,,503.0,1028.0,168.0,176.0,242.0
68,,,,,,,,,,,,,,,,,,,,,,,658.0,921.0,278.0,91.0,266.0
69,,,,,,,,,,,,,,,,,,,,,,262.0,674.0,664.0,187.0,336.0,320.0
70,,,,,,,,,,,,,,,,,,,,,,431.0,777.0,1093.0,157.0,121.0,364.0
71,,,,,,,,,,,,,,,,,,,1181.0,,,899.0,517.0,656.0,171.0,225.0,294.0
72,,,,,,,,,,,,,,,,,,,319.0,,,630.0,426.0,1056.0,222.0,174.0,353.0
73,,,,,,,,,,,,,,,,,,,1005.0,810.0,,424.0,1125.0,930.0,40.0,313.0,508.0
74,,,,,,,,,,,,,,,,,,,,,,617.0,343.0,808.0,131.0,82.0,315.0
75,,,,,,,,,,,,,,,,,,,815.0,,,924.0,765.0,891.0,286.0,218.0,301.0
76,,,,,,,,,,,,,,,,,,,578.0,,,609.0,570.0,878.0,432.0,150.0,385.0
77,,,,,,,,,,,,,,,,,,,,,,335.0,813.0,792.0,207.0,218.0,285.0
78,,,,,,,,,,,,,,,,,,,,,,1080.0,600.0,819.0,112.0,126.0,320.0
79,,,,,,,,,,,,,,,,,,,,,,687.0,460.0,972.0,268.0,288.0,267.0
80,,,,,,,,,,,,,,,,,,,917.0,,,332.0,340.0,792.0,260.0,225.0,262.0
81,,,,,,,,,,,,,,,,,,,,,,,722.0,903.0,82.0,60.0,352.0
82,,,,,,,,,,,,,,,,,,,,560.0,,409.0,786.0,869.0,174.0,249.0,283.0
83,,,,,,,,,,,,,,,,,,,,,,158.0,596.0,1004.0,120.0,176.0,369.0
84,,,,,,,,,,,,,,,,,,,,,,203.0,561.0,761.0,174.0,249.0,332.0
85,,,,,,,,,,,,,,,,,,,,,,925.0,194.0,894.0,353.0,111.0,323.0
