,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
155,12.0,3.0,44.0,137.0,3.0,280.0,112.0,3.0,138.0,31.0,5.0,224.0,18.0,4.0,198.0,10.0,3.0,71.0,6.0,3.0,15.0
156,105.0,4.0,860.0,5.0,4.0,667.0,89.0,4.0,699.0,39.0,3.0,259.0,29.0,3.0,100.0,4.0,4.0,56.0,5.0,3.0,6.0
157,151.0,4.0,326.0,27.0,4.0,158.0,118.0,4.0,710.0,7.0,5.0,313.0,16.0,4.0,88.0,12.0,3.0,74.0,4.0,3.0,12.0
158,31.0,3.0,335.0,44.0,4.0,281.0,64.0,3.0,144.0,17.0,4.0,138.0,21.0,7.0,154.0,5.0,4.0,86.0,4.0,3.0,18.0
159,64.0,4.0,607.0,129.0,3.0,427.0,34.0,4.0,182.0,15.0,3.0,226.0,23.0,4.0,116.0,7.0,4.0,44.0,4.0,4.0,33.0
160,10.0,3.0,104.0,62.0,5.0,965.0,34.0,4.0,505.0,84.0,4.0,332.0,8.0,4.0,188.0,4.0,3.0,54.0,4.0,3.0,19.0
161,14.0,3.0,1134.0,57.0,4.0,504.0,93.0,3.0,149.0,68.0,5.0,166.0,10.0,4.0,86.0,7.0,3.0,45.0,4.0,2.0,21.0
162,6.0,2.0,401.0,151.0,4.0,432.0,22.0,3.0,350.0,6.0,3.0,275.0,20.0,4.0,159.0,23.0,3.0,44.0,5.0,4.0,18.0
163,171.0,3.0,910.0,105.0,4.0,102.0,8.0,3.0,178.0,27.0,4.0,169.0,41.0,4.0,115.0,5.0,5.0,45.0,4.0,3.0,57.0
164,38.0,2.0,570.0,111.0,4.0,658.0,21.0,4.0,225.0,50.0,6.0,237.0,34.0,4.0,113.0,5.0,4.0,77.0,4.0,3.0,12.0
165,4.0,3.0,514.0,35.0,4.0,535.0,24.0,5.0,325.0,11.0,3.0,469.0,49.0,4.0,202.0,4.0,3.0,49.0,5.0,3.0,22.0
