,type0_str1,type1_str1,type2_str1,type0_str0.3,type1_str0.3,type2_str0.3,type0_str0.1,type1_str0.1,type2_str0.1,type0_str0.03,type1_str0.03,type2_str0.03,type0_str0.01,type1_str0.01,type2_str0.01,type0_str0.003,type1_str0.003,type2_str0.003,type0_str0.001,type1_str0.001,type2_str0.001
69,,,55.0,,,128.0,271.0,,168.0,,,575.0,,,488.0,,,,,,
70,,,622.0,,,1078.0,598.0,,181.0,,,119.0,,,458.0,,,989.0,,,
71,,,644.0,,,251.0,151.0,,186.0,,,204.0,,,782.0,,,892.0,,,
72,,,39.0,,,269.0,877.0,,499.0,992.0,,91.0,,,568.0,,,,,,
73,38.0,,41.0,,,98.0,,,542.0,,,259.0,,,846.0,,,868.0,,,
74,,,,,,199.0,,,1071.0,,,315.0,,,191.0,,,1074.0,,,
75,300.0,,523.0,,,190.0,426.0,,118.0,,,512.0,,,479.0,,,457.0,,,
76,,,280.0,,,236.0,,,69.0,,,74.0,,,170.0,,,520.0,,,
77,322.0,,1157.0,186.0,,88.0,1001.0,,238.0,,,429.0,,,905.0,,,982.0,,,
78,238.0,,137.0,,,250.0,,,272.0,1015.0,,60.0,,,821.0,,,921.0,,,
79,945.0,,133.0,367.0,,396.0,,,295.0,,,299.0,,,896.0,,,655.0,,,
80,345.0,,65.0,,,948.0,562.0,,45.0,1005.0,,521.0,,,491.0,,,,,,
81,,,115.0,,,56.0,,,197.0,,,481.0,,,588.0,,,,,,
82,,,97.0,,,77.0,,,589.0,,,376.0,,,449.0,,,945.0,,,
83,,,94.0,479.0,,615.0,223.0,,883.0,280.0,,316.0,,,643.0,,,,,,
84,726.0,,256.0,,,286.0,,,58.0,686.0,,238.0,,,453.0,,,1071.0,,,
85,,,166.0,,,36.0,,,25.0,,,441.0,,,250.0,,,484.0,,,
86,413.0,,31.0,,,108.0,1040.0,,284.0,,,279.0,,,463.0,,,,,,
87,,,43.0,,,1198.0,968.0,,630.0,,,285.0,,,311.0,,,,,,
88,,,638.0,,,112.0,,,,,,415.0,,,531.0,,,,,,
89,,,112.0,409.0,,452.0,623.0,,265.0,,,229.0,1185.0,,241.0,,,,,,
90,,,154.0,,,222.0,629.0,,93.0,,,571.0,,,445.0,,,,,,
91,,,323.0,,,656.0,880.0,,326.0,,,262.0,,,43.0,,,997.0,,,
92,80.0,,63.0,,,72.0,575.0,,165.0,,,733.0,,,658.0,,,,,,
93,981.0,,45.0,477.0,,100.0,610.0,,100.0,,,496.0,,,662.0,,,,,,
94,,,67.0,1155.0,,178.0,732.0,,308.0,,,445.0,,,425.0,,,1002.0,,,
