fname,centroid_1,centroid_2,centroid_3,volume,n_slices,in_cell,edge_dist,n_bkgnd,rand_n_bkgnd,GFP_med,rand_GFP_med,GFP_max,rand_GFP_max,GFP_tot,rand_GFP_tot,GFP_bkgnd,pLAT_med,rand_pLAT_med,pLAT_max,rand_pLAT_max,pLAT_tot,rand_pLAT_tot,pLAT_bkgnd,pCD3z_med,rand_pCD3z_med,pCD3z_max,rand_pCD3z_max,pCD3z_tot,rand_pCD3z_tot,pCD3z_bkgnd,rep
E10-0-0.mat,3.20338983050847,891.423728813559,1,59,1,0,-1,824,1228,4.42207708850532,45.9842732966742,355.633874028437,149.331965604367,774.080761399251,1389.48104852791,237.870520231214,-6.73887791105462,12.3630035319835,130.037592376224,67.0730067641621,-763.312188415821,693.516657252028,94.1495043979698,-31.1168341893999,8.68563231571562,115.587463666112,88.4029811619935,-741.493012239439,145.840372339862,196.426729800516,1
E10-0-0.mat,2.66666666666667,909.5,1,42,1,0,-1,676,1022,-64.0004389760133,10.9419224679328,342.78288043116,140.336956621525,81.8079857273767,304.898555379657,218.051285046729,1.80339127516437,2.63679032506971,78.2473014383127,43.9189170606218,412.498447166617,-155.32872674766,101.069431024487,-31.2464473695232,2.34705347321847,92.2437333807753,83.7981649499829,-1402.24497231028,42.6044406382657,193.425842873299,1
E10-0-0.mat,43.5,951.5,1,24,1,0,-1,716,716,28.710011183091,37.1533566433566,370.672044497508,116.761798561151,1384.70678825234,774.333279563237,234.596897482014,-31.0208477341223,-14.1150257087896,16.2906690507302,38.2079859780791,-677.120101721903,-441.969249170718,112.65465756076,28.54954466604,-3.89459954598865,118.808276710985,187.922709673817,163.946558842158,-419.35846008954,164.387533615195,1
E10-0-0.mat,73.9108910891089,1076.54455445545,1,101,1,0,-1,1173,1633,25.3184941268246,3.57125662981016,414.640686122014,130.488832380416,5860.54368292976,11.6519946108569,225.346671652954,-22.2891498955196,-9.15717407389871,102.869441599476,49.8499460096201,-1010.60098485661,-1318.35592701931,111.498035632709,6.1337411146522,-8.27473028810928,203.197633511232,69.0515527807385,93.9563938944164,-1532.48333562462,160.21111565132,1
E10-0-0.mat,91.5,881.5,1,24,1,0,-1,716,716,-4.4207901589907,41.0243597157613,346.355639494745,137.859601860221,1208.76584168624,323.935373191844,211.857525980556,29.929939589695,2.34264062303625,46.6036788173567,24.7847960726721,341.231251186418,30.5363438671437,107.578851481195,35.7175573708421,18.4245261028075,203.431134596739,97.550366447639,1055.92650514317,-72.9085333218844,196.51479860225,1
E10-0-0.mat,101.5,919.5,1,24,1,0,-1,716,716,55.7167247591347,51.7516910906321,350.574992848838,255.863971062974,1353.87157319864,1265.78688516162,200.441670163659,29.317075008417,-0.635997865033644,61.0941721845071,66.6574146795629,302.416433256731,159.613885043219,102.135290283766,49.1511658158858,-11.0933566113646,94.4671264847891,104.207851046986,708.499263280488,-141.743656240644,207.057845529333,1
E10-0-0.mat,113.5,1053.5,1,24,1,0,-1,716,716,22.6206924939094,-0.136050006243991,329.57335234813,138.618855195402,251.838243868163,79.3177952762274,286.717474016848,20.9025297110037,1.04610318385902,65.7839438422556,64.1378692643798,291.762958866072,148.528920920112,139.377906872899,84.9012806471892,-45.0955140289183,185.227848118999,101.896211211879,1127.06631891442,-520.575078417592,190.369312433536,1
E10-0-0.mat,156.910447761194,1077.64179104478,1,67,1,0,-1,898,1308,21.6662841129704,-12.5713646849215,306.011874088766,222.276986568879,1952.73807003582,-536.030132842947,226.500695249131,20.8131708266662,-1.92357527031585,93.829026730281,38.4260998949227,1247.21013340908,-240.992740408673,116.615319509099,-70.6998383231525,-19.2915811035767,90.0022375169606,135.092131542612,-4586.37295718599,-1107.01866611899,186.238065323013,1
E10-0-0.mat,183.5,1077.9375,1.9625,160,3,0,-1,912,1442,22.8168098931332,-35.4797862302336,430.63253257245,246.705948552836,2908.37476196812,-4102.58591354408,239.458654906284,6.5390431359921,2.27270373033816,153.335222954402,89.8097588057074,1513.49104517162,224.142186884844,106.902763315621,-8.16065023865198,-5.82488995027725,225.310085687253,119.810828317435,17.4180738991124,-413.683929288454,187.154881115179,1
E10-0-0.mat,212.520833333333,1064.32291666667,1,96,1,0,-1,1549,1549,14.6511955299545,15.1356172931024,469.756593596053,234.267819075343,3644.25567105069,-507.892676487264,318.405217199072,34.4642040228701,-6.88562074195788,108.52936007879,69.7613488610125,2830.56008767028,-497.177898429009,122.948892674617,4.56949398003567,2.72192913393226,125.289669632553,131.069944553585,799.786945444279,-1799.16593363208,193.0065713433,1
E10-0-0.mat,219.372881355932,1023.67796610169,1,59,1,0,-1,1095,1095,86.885825810643,-57.7921932844555,423.787150549437,184.488369381019,4625.94337355602,-2617.95369345763,282.12063043039,-5.70863421759952,-13.6927091681555,46.700796588848,84.4604694552814,-500.129858650039,-290.86257181703,112.033074378894,9.66270042631939,20.3622755721511,162.267489219961,107.114905903196,997.877457307657,329.506591902022,194.157787069389,1
E10-0-0.mat,229.534736842105,725.522105263158,3.43368421052632,475,6,0,-1,1339,1370,-7.26326749116745,7.99842548714577,866.860065998132,290.92698111713,12529.6526798818,4044.61230254345,239.710427807487,-3.94334334278422,-0.614511176760971,192.353090797877,83.741283765053,2815.25286987565,-319.137558696776,102.461213407912,-0.353611270786729,-12.6488648753264,715.978975299007,135.393674923726,16578.0062552056,-8976.54775868937,167.022658122255,1
