fname,centroid_1,centroid_2,centroid_3,volume,n_slices,frac_in_cell,edge_dist,n_bkgnd,rand_n_bkgnd,GFP_med,rand_GFP_med,GFP_max,rand_GFP_max,GFP_tot,rand_GFP_tot,GFP_bkgnd,rand_GFP_bkgnd,pLAT_med,rand_pLAT_med,pLAT_max,rand_pLAT_max,pLAT_tot,rand_pLAT_tot,pLAT_bkgnd,rand_pLAT_bkgnd,pCD3z_med,rand_pCD3z_med,pCD3z_max,rand_pCD3z_max,pCD3z_tot,rand_pCD3z_tot,pCD3z_bkgnd,rand_pCD3z_bkgnd
B7-0-0.mat,106.5,233.5,1,52,1,1,9.82344135219425,1016,883,141.88604631853,70.1551494132697,361.349561914259,162.926030657743,7126.61653117968,3290.74586701937,197.949516040477,369.113373474885,-1.65222528839642,-7.47051424605628,54.5335352816824,54.3405030786445,-79.4865771872038,-416.183790348626,95.323242400058,129.821390882229,3.51830809937414,-2.60615894107268,116.983818306367,113.029137879893,261.910222245823,-772.190403495213,186.493683148335,247.842450527615
B7-0-0.mat,107.035398230088,759.345132743363,2.3141592920354,100,4,0.442477876106195,203.712221141029,530,1045,51.0048784007196,7.29053634857559,528.34135880665,206.431261023182,8691.48975169061,-379.406437991688,233.081310785946,350.49688007522,0.940160050078539,-9.83735831544303,50.6198668333909,55.1508007453624,-74.5665940463431,-1269.97712229364,105.189039113357,117.588450049784,-6.52073455123049,-0.96405835526582,101.713882484596,106.156115874545,-757.492142894405,-790.770615269304,244.075043194178,317.271742637633
B7-0-0.mat,107.5,679.5,1,40,1,1,136.346983831693,908,908,48.6020059307902,-74.1737597595697,415.267054733608,168.748277267354,3227.086892739,-261.06090151392,282.081639582828,253.099983280388,-7.74972644474335,14.9380800257256,74.6524771698433,77.9622925676448,-417.352535822869,412.086822878887,111.340187106842,108.064694451257,43.1249323461656,48.9639850158611,105.036542362801,142.787651432582,441.808029391929,1641.62071939168,220.611505264585,182.609420282784
B7-0-0.mat,142.65119760479,243.89371257485,3.17365269461078,668,6,1,3.72698875200731,1614,1382,97.4875388862043,-19.3336756435875,1101.40763941578,252.198940599219,102289.846086875,-12594.7267362133,226.98861718316,346.229630829352,-1.61500508737011,-0.466634750920164,111.86844473729,124.069568532233,-155.218887255832,-326.042754562725,101.042094455852,126.736446735527,-6.01778295654057,-5.69965557544037,170.732767365475,219.55127096775,-86.4084395319442,-4534.74572862731,192.24213021666,358.363916642878
B7-0-0.mat,155.5,615.5,1,24,1,1,104.654192462605,716,696,15.2282372326805,33.897692971577,349.558056048736,119.412606571591,2104.3432549405,543.958240759658,245.85322421081,329.643995501415,-9.37674694562698,-9.18174626095308,44.9116913616161,53.9348974327436,-20.460750286132,-89.2387808373918,96.6412789653314,118.456960486322,60.9082951633696,7.73831363308869,183.771066931484,85.3215486811946,1469.14633796582,352.017287695324,222.342795728611,328.209785319754
B7-0-0.mat,180.291666666667,765.794871794872,2.52564102564103,204,4,0.653846153846154,134.719957284044,753,1335,118.275019357191,24.8403030531318,480.632534985971,180.603888524483,26436.1351877539,4868.9257743398,257.481688565837,256.349447409969,-5.23611969029839,-3.00106247124398,73.660070629238,46.9029889520333,-1362.25103355106,-1460.66175265438,97.6547761100295,104.114751443839,-2.55572041008762,-12.2413363456305,182.080842218265,351.985889676721,-1602.43855936055,567.947112716788,214.911330828554,220.308924142133
B7-0-0.mat,186.032258064516,288.709677419355,2.0241935483871,248,3,1,44.9356691286735,1607,1586,72.9722680928332,-26.760713637127,481.773382715853,209.03413987755,23240.1853519398,-5016.58397495865,248.035892560019,242.304150085276,-5.59720177176747,-8.64852602766926,76.8644943361799,85.4040607112686,-1021.17534213233,-2777.47348225455,95.55541570771,112.633127304074,-0.980126496327557,3.05956931419507,125.838789808966,207.002970596334,183.808112436068,3559.06913669955,205.212376316629,221.355145028222
B7-0-0.mat,191.68253968254,585.918767507003,3.47992530345472,957,6,0.893557422969188,99.4457093919379,1222,1837,680.58083143775,26.0026024967183,19845.8009941396,209.270413607556,2744588.95598674,23707.1036892143,253.406985486847,290.333513388379,1.22302131958102,-5.0814098713291,144.156204990844,104.439076240783,2928.59556370781,-3693.64872042391,101.138853205652,119.935584490951,-3.20853611279389,11.1915298964911,153.669710196182,223.006697607739,-4793.62555982095,12060.5033088336,187.190050253206,260.993451771404
B7-0-0.mat,229.5,725.5,1,76,1,1,79.5015723114958,920,1241,46.3734460908934,44.6677322429062,572.497713903328,251.029494376515,4631.51356243577,3413.58090466758,299.423416789396,344.914772727273,9.59952094042885,-5.39851456780988,77.05373410085,44.1947112095731,314.203533678755,-305.244652770635,111.601217975827,113.04399154469,-6.97587228527178,11.3619765996827,493.811988133655,92.0761926573565,2438.39572146346,226.574653738962,245.234308388377,301.153336085227
B7-0-0.mat,231.963562753036,143.060728744939,2.5748987854251,494,5,1,14.073439374061,1319,1516,45.9094111029558,19.1896745233934,1120.89132767579,187.12170326675,49336.1313147107,9896.29700316949,193.275616438356,227.828207287812,-3.07042777197409,-6.43360995921971,74.5304364479258,206.357780691803,-490.681808046117,-1612.10902185472,88.4808553397031,108.340838980968,12.3337836465507,-5.08113229468415,164.349636260853,170.94741136678,4225.05680943456,-1234.46987354246,174.786596827147,195.356888652855
B7-0-0.mat,265.020432692308,415.852163461538,3.44350961538462,46,6,0.0552884615384615,15.1821683127108,131,863,5.70381079068511,30.5965166320537,149.010250988845,121.254731906288,-343.273037176232,908.229669888372,167.650753965154,349.901522764165,-6.08926814672304,11.2917509568155,43.5846823519526,70.8696353339174,-460.146987177475,494.188589035992,91.3330632687633,127.723312589756,5.98964672904606,3.70640379727229,79.8037492567383,124.186488413948,-370.259086640088,92.2750530048528,202.742477393202,260.507238322568
B7-0-0.mat,297.34693877551,748.34693877551,1,49,1,1,24.0466366261044,969,989,84.3572863562758,56.1542734200889,302.469755290843,225.099569469567,5473.04563326065,2505.82371362268,269.336430276168,353.387656959658,7.19378680203046,4.62315925957269,61.0583350503923,97.1462769105392,222.136960489317,709.558077347136,106.707837563452,117.196305972416,-20.7220741892746,35.9441751108021,336.128018153847,78.9958233687352,936.919735213666,1033.60118258048,252.591872060207,324.322024292204
