fname,centroid_1,centroid_2,centroid_3,volume,n_slices,frac_in_cell,edge_dist,n_bkgnd,rand_n_bkgnd,GFP_med,rand_GFP_med,GFP_max,rand_GFP_max,GFP_tot,rand_GFP_tot,GFP_bkgnd,rand_GFP_bkgnd,pLAT_med,rand_pLAT_med,pLAT_max,rand_pLAT_max,pLAT_tot,rand_pLAT_tot,pLAT_bkgnd,rand_pLAT_bkgnd,pCD3z_med,rand_pCD3z_med,pCD3z_max,rand_pCD3z_max,pCD3z_tot,rand_pCD3z_tot,pCD3z_bkgnd,rand_pCD3z_bkgnd
B5-0-0.mat,105.686274509804,213.490196078431,1.84313725490196,102,3,1,11.3243400100325,1044,1097,30.670455907153,12.2908868756431,412.689570940366,224.069291279841,5968.5880828797,2450.0710124972,231.18354280294,400.027218290691,-1.78344134437489,-0.00226846825516702,116.910853904782,69.3523687496379,271.02012535584,122.49890510145,99.0183375405698,125.189957597942,0.0446699198470526,-6.36171554604331,302.79977076888,127.525179310939,2091.87750355024,-507.277895085438,187.997634583601,224.479900527785
B5-0-0.mat,151.392786885246,996.923934426229,3.48459016393443,1525,6,1,48.3928466665513,1878,1349,1295.09947022058,76.4552823580913,18856.4527467298,18864.3010250962,4690922.7721793,1679299.31754948,341.871005639098,334.022727272727,55.8025676935507,14.8507831980556,661.933216402904,259.268464961269,141182.601476327,26880.7178380124,134.180765200249,128.337499029729,160.679773408244,84.1143521467717,965.1453028608,714.843888011086,352644.239280459,169269.326485006,254.073966134635,242.707831293213
B5-0-0.mat,170.431034482759,204.568965517241,1,31,1,0.53448275862069,15.0959869776694,428,773,105.369308097238,63.6104076786068,371.155793371228,199.388391334739,3678.93553485953,2090.89617997736,214.962181818182,412.464193548387,21.0743689716053,-12.6968866771004,104.862696911824,52.706388852462,443.48273908573,-296.732168970452,98.4965757635391,136.13666098105,109.802271345538,73.0823078893692,227.63856372175,185.017419650988,3478.36427238936,2350.82134157247,229.125733945096,278.449597546953
B5-0-0.mat,175.047703180212,136.547703180212,2.80918727915194,566,5,1,8.54783629057137,1658,1659,67.3889962675791,-22.7787377712122,1059.58907746617,155.621093744228,71494.2100478543,-11059.0482297068,270.575300252844,291.983852025837,3.87585329548192,-2.98434032284003,74.9195147954941,81.7766607635208,2092.16210576091,-1364.45327277223,95.0087600114417,113.577611079054,26.4257295527368,17.4808787725659,224.257994510236,145.779015864824,11624.9498450017,8500.25661511698,204.304025359153,223.180191055558
B5-0-0.mat,199.201210287443,669.512859304085,3.39485627836611,1322,6,1,19.2080582352408,2376,NaN,252.954693831731,NaN,771.469705170244,NaN,332399.6249421,NaN,494.987425339696,NaN,40.7709519517326,NaN,172.894441454769,NaN,56264.6965299402,NaN,147.740060998774,NaN,12.6377244247518,NaN,203.813990601122,NaN,18932.5534417811,NaN,193.797366204899,NaN
B5-0-0.mat,207.285923753666,998.461876832845,3.37536656891496,682,6,1,104.286946562665,1303,1570,84.910624233114,8.51961041967331,727.542135217158,232.063867151198,83777.8081138664,4712.80954402259,281.359827603488,371.490127659575,54.4300514503141,8.37475841761967,774.02950735169,130.232891409061,75790.611495612,3927.31421859309,118.671830878425,129.374530506635,44.1268102957654,-14.5904741695058,609.491981514498,145.10266608251,47140.8999568798,-9413.88092119088,258.654686679962,372.958646279599
B5-0-0.mat,217.259217877095,695.969832402235,3.95195530726257,895,6,1,21.882314817156,1739,1056,182.450547176821,2291.24357428852,566.550582698378,18860.9255757433,167703.310404331,3617278.81536599,471.003221276947,337.398176625659,30.1068497146613,85.9721583516679,165.45650861897,664.113851299316,30184.6592796557,115850.333638823,133.055337894074,132.000130303838,16.8064239573501,203.263475660275,186.227783948126,948.573648310448,14125.9653330607,252575.40165082,201.834826430487,270.645620684987
B5-0-0.mat,235.195751138088,189.227617602428,3.15022761760243,146,6,0.22154779969651,23.7731883298067,642,935,59.7643488031204,5.94305054292329,755.369469235788,195.022376428187,10495.6998301368,443.326682024983,161.252351097179,453.561369154852,9.44295477967387,-10.0163400927468,76.8977161148985,95.1040794756692,1476.87191539147,-1366.32741050867,83.0240285932477,165.635343618513,-7.43496617424853,54.3487254876663,164.467399167227,470.798862851488,-744.239654712746,8791.9574653219,212.767699343873,256.707735196684
B5-0-0.mat,238.24016563147,695.211180124224,2.6832298136646,23,4,0.0476190476190476,15.7906463642326,351,743,-37.0203330347033,35.2385054367836,169.26251189478,122.747360398616,-587.525106358311,696.469859463059,416.784355723098,228.409967845659,-8.00481943890196,-3.87120503103078,71.4873720654832,54.2195610686226,51.3332486377006,25.9454673336096,134.229269764635,115.609356484105,-47.7489886233726,19.0112439366191,111.273359298426,98.3622475403807,-879.069432323019,489.282145452275,196.013490725126,194.208467366359
B5-0-0.mat,254.543076923077,102.384615384615,3.03538461538462,6,1,0.00923076923076923,2.82021821305211,228,522,16.4629145794031,21.9742159536218,72.7252210484733,137.08744877767,100.319223320168,107.245126787528,177.285886610374,342.070370033639,-3.80713622911536,-5.23491160236766,11.3535479172782,0,-12.1903845393246,-41.6579465073266,85.3188962503524,129.598274025144,-21.2614927032237,7.26136176405009,92.9012124004823,78.7855317027654,-189.741041375507,103.068094736664,150.625981012573,354.522775330141
