fname,centroid_1,centroid_2,centroid_3,volume,n_slices,frac_in_cell,edge_dist,n_bkgnd,rand_n_bkgnd,GFP_med,rand_GFP_med,GFP_max,rand_GFP_max,GFP_tot,rand_GFP_tot,GFP_bkgnd,rand_GFP_bkgnd,pLAT_med,rand_pLAT_med,pLAT_max,rand_pLAT_max,pLAT_tot,rand_pLAT_tot,pLAT_bkgnd,rand_pLAT_bkgnd,pCD3z_med,rand_pCD3z_med,pCD3z_max,rand_pCD3z_max,pCD3z_tot,rand_pCD3z_tot,pCD3z_bkgnd,rand_pCD3z_bkgnd
D9-5-3.mat,210.031980319803,196.715867158672,3.47109471094711,813,6,1,6.71594330185852,1666,1666,83.3873161654421,11.7699990106846,2107.77844562818,223.334285152618,198984.082683753,8388.74598454804,286.282524348721,321.042500989315,7.33261037577115,9.84440939535688,74.5842425977927,91.8940893302617,5042.92721237336,7454.46773079236,91.4186393994491,117.994496056091,0.684626190158667,2.52753881355488,206.158025203269,156.320521796246,-2035.52271978756,2598.14778988447,185.540653431738,207.014859502596
D9-5-3.mat,267.072961373391,334.26895565093,3.40057224606581,204,6,0.291845493562232,71.5447505913966,569,1154,45.3497622730746,0.261239186874491,728.297314845148,335.166909303531,11538.3345363202,2699.78528810924,215.963420353291,320.572147651007,-5.32896012415293,2.28779236259334,56.4166183278997,84.6852088350381,-180.117693144453,211.595476602532,84.1078015974614,113.591476610621,7.76374925601539,18.5598111068261,192.232083272813,181.094620231791,942.004657198851,4266.92813671942,181.282052791101,265.876104861863
D9-5-3.mat,275.811977715877,232.094707520891,3.32033426183844,141,6,0.196378830083565,3.81315402532597,511,1108,65.531094251511,-16.8674433667915,629.453170285066,424.656462059774,12578.4782021121,1007.74769721797,200.629764065336,267.477169933233,7.07789241590683,-0.398906785166503,96.3145811508504,100.905988541405,1062.6264963402,-354.338556073905,85.0275367986916,120.540765882093,17.3381075543474,15.9273734558226,173.900014065207,204.282334596339,2213.33714185687,169.96014737749,167.815558631127,212.238908006897
D9-5-3.mat,293.5,501.5,1,10,1,0.416666666666667,152.172599373212,219,534,-4.51064308512116,67.5716042165203,349.084011021437,141.109512485137,-345.772981804228,701.815674182937,171.787863715494,274.810344827586,43.7674138795568,-26.1602152213938,66.1819003699919,18.247843084311,401.491546691484,-178.155972994227,103.136608569624,107.651498577992,-59.9033042756211,61.8033902892687,324.66090761349,140.762946357293,-92.1232638227914,702.573015316351,199.263644199944,229.489774669469
D9-5-3.mat,323.92972972973,601.147027027027,3.44864864864865,925,6,1,108.098471440768,1746,1055,175.974965058346,490.733018580684,3204.80727419255,11617.7102573921,394781.887862073,1885246.60084137,274.788101983003,377.515656229181,-0.177893199199175,1.15237540792015,85.9810150070399,83.6351914798228,-1996.75883492901,-400.062514233468,104.237680243794,113.821984891899,-31.9337966545018,11.8189666127445,171.882284952301,187.476513360335,-28309.1567300577,5263.18249300135,229.595496423381,198.995304245744
D9-5-3.mat,336.764248704663,533.865284974093,2.7979274611399,386,5,1,157.731444049173,1477,973,80.5367412956495,-12.3049136979182,672.090958106369,114.12386199712,43037.7638571187,-3096.73813124188,283.840300938494,224.355331141381,0.181213789592604,8.53217614641092,112.168625464301,76.3489961667823,-672.297782111776,3319.08147913618,106.669161290323,87.4096566092217,-22.6237463894167,-9.00867908344918,131.594852372848,136.920177990888,-6906.37573544309,-1521.55866142574,209.365107506601,186.146185224354
D9-5-3.mat,349.291017964072,588.62754491018,3.44910179640719,835,6,1,136.381547169188,1676,1295,120.300086045734,30.1787445432302,2700.84995995005,712.6373173331,259888.318046995,34931.9054946426,301.788897005113,363.792704421795,4.98772603678644,-4.05384860912523,130.440810000159,79.5123606355828,3029.7165696728,-3171.28398231437,96.1367504249324,117.393638170974,-0.756899984834206,2.52991571229339,182.051489108154,188.890236829437,-327.76642794978,-1114.32803189427,211.961470664114,203.985784104668
D9-5-3.mat,363.066841415465,538.723460026212,3.38663171690695,763,6,1,174.674348787415,1543,1643,83.4709720371005,-0.576118975166196,1881.85850932064,246.658861684557,139156.156422585,5693.39163287775,281.641648035771,490.862475442043,-1.86733267836971,-0.654633606678487,66.5200918610961,86.6630102452143,-1765.55921564553,-3349.62449236694,104.420049951689,142.589310170835,-13.2831940535395,-8.28930010335944,191.892692571279,189.227407178686,-9403.26657393136,109.004414709001,239.391395119199,238.494504710248
D9-5-3.mat,639.137101623572,191.877931449188,3.42874323511726,1663,6,1,118.453443612754,2229,2103,1525.18964607099,1.10165116784799,11599.2761288293,226.049926947662,3855636.85124025,11356.9964913498,395.949784791966,285.180873180873,3.63890282565725,1.44081239725988,94.3520717101977,151.737523807519,6291.97179873793,4876.31338037532,107.778234086242,90.0999609666087,5.11041971912582,-11.5379602182865,187.005780155379,178.656504228908,823.984958916903,-10892.7444438612,199.4660374507,181.919293418665
D9-5-3.mat,639.79958677686,216.795454545455,2.7995867768595,367,5,0.758264462809917,95.1927111297754,986,1111,103.668081947951,5.23500685496754,1177.66243521917,913.194553315505,64605.4636519147,10384.7412229417,316.480923881323,346.838634054857,-8.45071511310876,3.99587896330198,75.8134486185,73.1359632633341,-1740.62288229953,1986.47205371651,111.581245774318,109.397333564194,-14.9234157891369,-12.0620309642852,178.022309919974,200.207506246295,-6057.8971751379,-6198.47613735834,193.003396933072,217.85624147507
D9-5-3.mat,663.453987730061,76.2085889570552,1.85889570552147,163,3,1,236.901039201917,1287,1287,98.5025997476797,-16.7757565997125,449.17664997432,148.134323628718,19406.4477795249,-1597.80518320926,281.982954545455,272.188207360507,-7.34892262265038,4.87706401506351,80.8528241792263,86.8721843872417,-376.4995172574,43.8623482092102,111.801268196838,97.8929045092838,-18.6168012726577,-7.17556066892922,153.358521372062,139.133488825372,-1805.3481546815,86.4533604641195,185.224432625553,200.786709835354
D9-5-3.mat,698.993984962406,509.712781954887,3.21203007518797,665,6,1,91.0391048979046,1594,1571,83.0570284130988,9.22016715129934,1387.47067107025,268.59786552821,94238.4251594585,5991.8389371871,443.971146967344,300.736163699347,0.243356361313062,-0.900745391961806,79.977001594067,85.0209406897908,-634.548556037864,-519.159348767443,141.89089411307,104.807201602699,-4.72937301441681,0.788122082020664,194.530425144577,252.058319754109,-2384.86569504096,-1334.70275486921,267.971314537734,209.371713072825
