,type0,type1,type2,type3
324,,89.0,,72.0
325,,,,
326,126.0,232.0,,
327,,,,
328,,,,
329,245.0,,,198.0
330,,,,
331,,625.0,,
332,,,,186.0
333,,794.0,,
334,,134.0,,119.0
335,169.0,,,126.0
336,,,,73.0
337,815.0,,,141.0
338,,,,127.0
339,357.0,,,
340,,212.0,,83.0
341,170.0,130.0,,80.0
342,264.0,,,
343,,376.0,,56.0
344,,,,80.0
345,,,,
346,,224.0,,
347,,,,
348,,,,57.0
349,,,,
350,,,,152.0
351,,,,53.0
352,,,,73.0
353,337.0,,,
354,,,,
355,,411.0,,213.0
356,912.0,,,113.0
357,,,,221.0
358,,68.0,,48.0
359,612.0,,,195.0
360,,,,36.0
361,,,,
362,,,,87.0
363,,,,
364,35.0,54.0,,98.0
365,,,,114.0
366,,,,
367,,,,44.0
368,,288.0,,
369,,,,52.0
370,,294.0,,38.0
371,478.0,87.0,,92.0
372,,,,
373,,301.0,,90.0
374,,,,100.0
375,,,,247.0
376,526.0,,,221.0
377,,,,22.0
378,,119.0,,214.0
379,,,,46.0
380,,,,188.0
381,,,,88.0
382,,,,45.0
383,,,,88.0
384,,,,57.0
385,,,,182.0
386,323.0,,,65.0
387,,199.0,,
388,,,,186.0
389,,,,
390,,,,159.0
391,435.0,,,128.0
392,472.0,,,
393,,51.0,,72.0
394,,,,67.0
395,963.0,,,215.0
396,16.0,130.0,,60.0
397,,602.0,,59.0
398,,,,106.0
399,164.0,,,
400,321.0,,,57.0
401,,,,52.0
402,,,,90.0
403,,,,121.0
404,85.0,,,
405,,,,47.0
406,,,,45.0
407,,,,50.0
408,,,,68.0
409,,313.0,,
410,,,,69.0
411,,,,150.0
412,335.0,,,
413,341.0,,,90.0
414,135.0,,,73.0
415,,,,
416,50.0,,,42.0
417,,166.0,,
418,,,,201.0
419,614.0,330.0,,125.0
420,,541.0,,35.0
421,,343.0,,26.0
422,,,,19.0
423,,,,55.0
424,,,,34.0
425,,,,187.0
426,369.0,485.0,,76.0
427,892.0,,,67.0
428,,,,
429,,,,
430,,514.0,,39.0
431,,,,
432,,,,165.0
433,,715.0,,
434,135.0,,,79.0
435,,164.0,,60.0
436,470.0,,,
437,,183.0,,182.0
438,,,,147.0
439,377.0,,,
440,300.0,536.0,,68.0
441,,,,94.0
442,,367.0,,
443,,,,44.0
444,,,,42.0
445,,102.0,,
446,,,,120.0
447,204.0,,,31.0
448,995.0,,,
449,,,,200.0
450,,,,49.0
451,88.0,,,
452,,,,23.0
453,,,,68.0
454,344.0,,,
455,33.0,166.0,,142.0
456,,,,
457,482.0,,,38.0
458,885.0,239.0,,303.0
459,122.0,224.0,,58.0
460,288.0,,,
461,,,,132.0
462,,,,24.0
463,148.0,,,80.0
464,,185.0,,75.0
465,286.0,,,143.0
466,,,,75.0
467,,,,119.0
468,,,,46.0
469,,,,119.0
470,,,,
471,,,,98.0
472,,,,51.0
473,,,,58.0
474,,,,
475,,,,66.0
476,,,,109.0
477,,,,174.0
478,,,,
479,,,,107.0
480,,259.0,,123.0
481,,,,63.0
482,237.0,,,147.0
483,,66.0,,104.0
484,142.0,,,121.0
485,,,,300.0
486,,,,208.0
487,,172.0,,
488,772.0,,,57.0
489,,,,184.0
490,,,,23.0
491,750.0,22.0,,108.0
492,,,,
493,112.0,,,90.0
494,,,,34.0
495,237.0,,,60.0
496,,,,
497,,,,58.0
498,167.0,,,135.0
499,,251.0,,133.0
500,,,,120.0
501,,,,
502,469.0,,,14.0
503,729.0,,,159.0
504,358.0,,,
505,,,,62.0
506,,457.0,,164.0
507,,,,154.0
508,,,,188.0
509,,,,
510,,,,72.0
511,,47.0,,204.0
512,,,,
513,114.0,,,41.0
514,525.0,,,67.0
515,48.0,435.0,,
516,410.0,,,
517,,,,74.0
518,,,,65.0
519,,,,44.0
520,,517.0,,65.0
521,,,,
522,,,,34.0
523,,86.0,,
524,,,,36.0
525,902.0,286.0,,103.0
526,,,,51.0
527,,,,60.0
528,,,,
529,,,,68.0
530,,,,78.0
531,,,,
532,52.0,,,
533,,,,41.0
534,,,,
535,,274.0,,55.0
536,,413.0,,20.0
537,,,,187.0
538,,,,70.0
539,,231.0,,155.0
540,,76.0,,
541,,358.0,,230.0
542,,,,27.0
543,676.0,,,
544,216.0,,,147.0
545,,,,78.0
546,,,,84.0
547,,,,94.0
548,,,,116.0
549,90.0,,,
550,,,,
551,,245.0,,34.0
552,,,,82.0
553,,,,
554,,234.0,,215.0
555,347.0,,,61.0
556,,,,46.0
557,,,,131.0
558,89.0,,,122.0
559,,,,178.0
560,,,,
561,467.0,,,72.0
562,258.0,,,49.0
563,35.0,,,141.0
564,635.0,553.0,,
565,,,,67.0
566,175.0,,,57.0
567,,,,29.0
568,,,,36.0
569,,,,119.0
570,853.0,579.0,,129.0
571,,831.0,,
572,,,,68.0
573,,67.0,,130.0
574,,,,59.0
575,,155.0,,122.0
576,,,,37.0
577,,,,160.0
578,,103.0,,
579,,,,92.0
580,,,,57.0
581,220.0,,,189.0
582,,,,94.0
583,,,,174.0
584,258.0,970.0,,160.0
585,,,,78.0
586,,,,61.0
587,,,,59.0
588,,77.0,,50.0
589,,,,148.0
590,,,,
591,215.0,,,
592,158.0,,,146.0
593,340.0,,,
594,106.0,,,195.0
595,77.0,,,51.0
596,,,,93.0
597,343.0,,,64.0
598,,597.0,,
599,,108.0,,
600,386.0,,,
601,236.0,,,
602,465.0,,,63.0
603,563.0,247.0,,70.0
604,,,,53.0
605,,,,92.0
606,125.0,301.0,,
607,,337.0,,123.0
608,,,,
609,497.0,,,119.0
610,,30.0,,40.0
611,,162.0,,34.0
612,25.0,,,30.0
613,,,,36.0
614,218.0,,,209.0
615,,434.0,,75.0
616,,,,26.0
617,,,,174.0
618,,,,
619,,,,125.0
620,,,,
621,289.0,,,102.0
622,,,,
623,,278.0,,108.0
624,116.0,507.0,,176.0
625,,,,78.0
626,,,,94.0
627,84.0,,,114.0
628,,,,74.0
629,,,,145.0
630,449.0,791.0,,225.0
631,,,,95.0
632,,,,65.0
633,,169.0,,
634,,733.0,,109.0
635,,,,57.0
636,,,,140.0
637,,,,28.0
638,,1196.0,,
639,,499.0,,27.0
640,,463.0,,40.0
641,329.0,,,122.0
642,,,,60.0
643,180.0,,,108.0
644,,,,53.0
645,121.0,,,52.0
646,,,,139.0
647,,,,
648,,,,
649,,,,58.0
650,,,,144.0
651,,133.0,,178.0
652,,,,62.0
653,,,,120.0
654,,,,
655,,,,28.0
656,,128.0,,90.0
657,,292.0,,114.0
658,,116.0,,85.0
659,327.0,,,86.0
660,,,,41.0
661,,,,
662,407.0,,,121.0
663,,75.0,,168.0
664,,,,235.0
665,,,,65.0
666,,,,152.0
667,79.0,,,
668,,413.0,,
669,1189.0,,,88.0
670,,,,58.0
671,,180.0,,170.0
672,295.0,,,37.0
673,,,,54.0
674,,,,71.0
675,,,,
676,,,,148.0
677,,,,128.0
678,438.0,,,
679,,,,282.0
680,514.0,,,62.0
