,d6.67,d8.4,d10.58,d13.33,d16.8,d21.17,d26.67,d33.6,d42.33,d53.33,d67.2,d84.66
59,151.0,178.0,236.0,284.0,357.0,405.0,548.0,692.0,876.0,1124.0,1409.0,1751.0
60,135.0,161.0,216.0,251.0,357.0,407.0,583.0,695.0,899.0,1141.0,1428.0,1756.0
61,146.0,189.0,235.0,263.0,330.0,445.0,538.0,689.0,887.0,1151.0,1410.0,1740.0
62,129.0,167.0,237.0,293.0,350.0,477.0,559.0,659.0,890.0,1063.0,1415.0,1740.0
63,142.0,150.0,236.0,280.0,352.0,443.0,541.0,657.0,823.0,1123.0,1368.0,1688.0
64,127.0,170.0,202.0,254.0,380.0,451.0,570.0,704.0,896.0,1138.0,1373.0,1740.0
65,133.0,142.0,227.0,266.0,347.0,406.0,558.0,650.0,863.0,1136.0,1381.0,1807.0
66,137.0,164.0,227.0,273.0,369.0,423.0,591.0,705.0,849.0,1153.0,1470.0,1724.0
67,139.0,147.0,210.0,303.0,348.0,408.0,525.0,672.0,823.0,1096.0,1380.0,1718.0
68,135.0,161.0,216.0,264.0,345.0,444.0,576.0,642.0,920.0,1078.0,1371.0,1743.0
69,131.0,158.0,203.0,265.0,339.0,433.0,548.0,696.0,829.0,1066.0,1389.0,1692.0
70,130.0,185.0,205.0,252.0,338.0,393.0,539.0,701.0,864.0,1116.0,1351.0,1694.0
71,143.0,175.0,221.0,292.0,343.0,447.0,561.0,655.0,853.0,1064.0,1320.0,1744.0
72,108.0,164.0,216.0,272.0,382.0,413.0,524.0,718.0,855.0,1040.0,1394.0,1654.0
73,137.0,181.0,218.0,244.0,333.0,439.0,577.0,691.0,879.0,1055.0,1409.0,1647.0
74,124.0,188.0,206.0,252.0,383.0,413.0,554.0,684.0,852.0,1001.0,1375.0,1713.0
75,136.0,171.0,196.0,264.0,332.0,479.0,535.0,669.0,835.0,1107.0,1345.0,1748.0
76,141.0,192.0,209.0,290.0,343.0,414.0,524.0,717.0,854.0,1125.0,1397.0,1780.0
77,131.0,175.0,242.0,263.0,334.0,425.0,526.0,685.0,886.0,1075.0,1357.0,1808.0
78,126.0,176.0,175.0,281.0,328.0,420.0,540.0,683.0,950.0,1104.0,1384.0,1779.0
79,144.0,183.0,216.0,291.0,355.0,444.0,542.0,710.0,905.0,1100.0,1442.0,1793.0
80,137.0,158.0,215.0,282.0,336.0,446.0,549.0,717.0,846.0,1079.0,1429.0,1702.0
81,117.0,196.0,205.0,270.0,338.0,402.0,562.0,679.0,919.0,1131.0,1333.0,1776.0
82,146.0,170.0,212.0,266.0,340.0,452.0,556.0,683.0,884.0,1092.0,1396.0,1775.0
83,138.0,187.0,217.0,299.0,343.0,440.0,561.0,738.0,867.0,1105.0,1384.0,1695.0
84,121.0,178.0,207.0,282.0,361.0,436.0,520.0,662.0,835.0,1066.0,1366.0,1738.0
85,115.0,150.0,203.0,271.0,354.0,388.0,559.0,663.0,858.0,1076.0,1419.0,1743.0
86,136.0,204.0,238.0,256.0,333.0,455.0,555.0,708.0,798.0,1106.0,1396.0,1755.0
87,153.0,186.0,210.0,259.0,349.0,463.0,511.0,661.0,861.0,1122.0,1365.0,1661.0
88,153.0,176.0,212.0,244.0,352.0,479.0,574.0,704.0,844.0,1096.0,1403.0,1753.0
89,137.0,186.0,212.0,249.0,348.0,461.0,510.0,702.0,882.0,1161.0,1378.0,1706.0
90,138.0,170.0,208.0,270.0,357.0,445.0,538.0,685.0,900.0,1057.0,1391.0,1801.0
91,135.0,180.0,233.0,293.0,358.0,398.0,566.0,703.0,838.0,1068.0,1353.0,1720.0
92,132.0,158.0,213.0,286.0,335.0,448.0,627.0,653.0,824.0,1158.0,1314.0,1782.0
93,112.0,169.0,242.0,284.0,335.0,457.0,505.0,743.0,844.0,1103.0,1366.0,1768.0
94,147.0,171.0,223.0,248.0,358.0,406.0,562.0,707.0,849.0,1083.0,1395.0,1740.0
95,128.0,179.0,200.0,248.0,325.0,443.0,530.0,740.0,896.0,1084.0,1387.0,1823.0
96,139.0,172.0,225.0,284.0,331.0,444.0,527.0,627.0,908.0,1114.0,1411.0,1688.0
97,123.0,177.0,246.0,287.0,352.0,448.0,535.0,673.0,886.0,1092.0,1405.0,1699.0
98,126.0,165.0,210.0,293.0,349.0,421.0,566.0,700.0,886.0,1155.0,1293.0,1790.0
99,142.0,147.0,206.0,290.0,346.0,393.0,556.0,730.0,873.0,1104.0,1453.0,1737.0
100,139.0,157.0,256.0,272.0,355.0,424.0,505.0,717.0,875.0,1098.0,1414.0,1763.0
101,137.0,182.0,198.0,273.0,367.0,418.0,570.0,676.0,851.0,1152.0,1447.0,1711.0
102,126.0,189.0,233.0,277.0,341.0,420.0,530.0,678.0,878.0,1094.0,1453.0,1781.0
103,147.0,171.0,212.0,280.0,349.0,431.0,536.0,715.0,862.0,1097.0,1309.0,1714.0
104,143.0,161.0,204.0,270.0,337.0,407.0,577.0,719.0,855.0,1096.0,1396.0,1714.0
105,136.0,172.0,199.0,272.0,309.0,466.0,573.0,704.0,822.0,1095.0,1424.0,1701.0
106,154.0,179.0,202.0,284.0,345.0,444.0,541.0,653.0,834.0,1098.0,1410.0,1813.0
107,125.0,180.0,235.0,263.0,343.0,464.0,534.0,659.0,895.0,1092.0,1389.0,1801.0
108,135.0,147.0,222.0,260.0,333.0,430.0,537.0,660.0,876.0,1009.0,1358.0,1719.0
109,149.0,160.0,225.0,261.0,360.0,411.0,554.0,705.0,862.0,1124.0,1403.0,1716.0
110,133.0,164.0,232.0,267.0,344.0,416.0,558.0,713.0,888.0,1095.0,1386.0,1798.0
111,157.0,171.0,219.0,258.0,364.0,426.0,534.0,689.0,874.0,1068.0,1442.0,1683.0
112,128.0,161.0,231.0,283.0,333.0,423.0,535.0,655.0,811.0,1095.0,1354.0,1633.0
113,160.0,158.0,222.0,277.0,340.0,455.0,536.0,720.0,874.0,1101.0,1323.0,1739.0
114,118.0,165.0,236.0,279.0,366.0,465.0,568.0,690.0,840.0,1038.0,1427.0,1725.0
115,137.0,152.0,215.0,245.0,338.0,443.0,523.0,692.0,852.0,1105.0,1420.0,1762.0
116,150.0,179.0,197.0,291.0,357.0,428.0,521.0,689.0,862.0,1030.0,1338.0,1708.0
117,123.0,169.0,215.0,282.0,374.0,429.0,533.0,692.0,899.0,1119.0,1383.0,1703.0
118,136.0,183.0,217.0,289.0,338.0,458.0,576.0,673.0,918.0,1070.0,1427.0,1785.0
119,143.0,148.0,203.0,247.0,351.0,431.0,548.0,734.0,838.0,1090.0,1356.0,1769.0
120,148.0,161.0,213.0,268.0,370.0,421.0,561.0,711.0,894.0,1115.0,1378.0,1802.0
121,136.0,170.0,208.0,294.0,337.0,484.0,538.0,701.0,947.0,1124.0,1369.0,1696.0
122,130.0,185.0,234.0,257.0,369.0,458.0,547.0,693.0,874.0,1051.0,1392.0,1761.0
123,138.0,160.0,237.0,266.0,376.0,441.0,563.0,662.0,881.0,1134.0,1295.0,1742.0
124,124.0,170.0,204.0,281.0,362.0,411.0,542.0,686.0,857.0,1089.0,1326.0,1753.0
125,155.0,174.0,212.0,259.0,318.0,436.0,524.0,700.0,911.0,1112.0,1317.0,1775.0
126,129.0,160.0,207.0,281.0,361.0,412.0,525.0,698.0,868.0,1141.0,1426.0,1739.0
127,121.0,172.0,214.0,241.0,337.0,481.0,562.0,686.0,828.0,1111.0,1401.0,1709.0
128,128.0,164.0,230.0,250.0,347.0,467.0,554.0,692.0,869.0,1136.0,1430.0,1713.0
129,134.0,191.0,229.0,271.0,319.0,445.0,531.0,720.0,855.0,1123.0,1423.0,1736.0
130,136.0,189.0,206.0,270.0,353.0,427.0,555.0,688.0,891.0,1141.0,1400.0,1779.0
131,131.0,177.0,217.0,275.0,300.0,445.0,518.0,707.0,861.0,1030.0,1356.0,1665.0
132,143.0,158.0,207.0,289.0,376.0,483.0,520.0,703.0,884.0,1048.0,1360.0,1701.0
133,144.0,200.0,216.0,257.0,372.0,397.0,524.0,685.0,935.0,1102.0,1423.0,1730.0
134,126.0,155.0,230.0,265.0,339.0,435.0,567.0,686.0,864.0,1056.0,1373.0,1805.0
135,136.0,159.0,205.0,259.0,386.0,466.0,571.0,724.0,892.0,1078.0,1362.0,1719.0
136,116.0,162.0,213.0,295.0,352.0,450.0,553.0,678.0,897.0,1108.0,1415.0,1690.0
137,136.0,156.0,214.0,268.0,381.0,435.0,565.0,679.0,803.0,1044.0,1390.0,1717.0
138,116.0,177.0,214.0,284.0,365.0,405.0,564.0,663.0,859.0,1062.0,1399.0,1714.0
139,131.0,144.0,217.0,256.0,357.0,475.0,595.0,679.0,932.0,1132.0,1358.0,1703.0
140,136.0,181.0,213.0,284.0,347.0,418.0,552.0,673.0,836.0,1107.0,1345.0,1758.0
141,134.0,155.0,233.0,267.0,339.0,428.0,561.0,667.0,879.0,1069.0,1392.0,1741.0
142,122.0,184.0,221.0,284.0,369.0,386.0,566.0,692.0,803.0,1141.0,1344.0,1756.0
143,127.0,164.0,221.0,290.0,317.0,473.0,548.0,686.0,847.0,1072.0,1300.0,1802.0
144,125.0,163.0,244.0,283.0,336.0,463.0,511.0,683.0,863.0,1090.0,1380.0,1799.0
145,146.0,160.0,211.0,295.0,337.0,420.0,585.0,653.0,926.0,1107.0,1363.0,1744.0
146,136.0,179.0,204.0,263.0,346.0,391.0,602.0,684.0,881.0,1111.0,1391.0,1700.0
147,147.0,172.0,214.0,288.0,346.0,423.0,530.0,670.0,844.0,1080.0,1374.0,1798.0
148,136.0,187.0,201.0,291.0,346.0,435.0,518.0,655.0,847.0,1041.0,1399.0,1751.0
149,141.0,152.0,221.0,244.0,363.0,448.0,537.0,727.0,840.0,1149.0,1351.0,1760.0
