,d6.67,d8.4,d10.58,d13.33,d16.8,d21.17,d26.67,d33.6,d42.33,d53.33,d67.2,d84.66
102,,,,,,,,252.0,239.0,78.0,64.0,29.0
103,,,,,,,,854.0,99.0,80.0,67.0,49.0
104,,,,,,,619.0,263.0,413.0,64.0,34.0,26.0
105,,,,,,,,516.0,76.0,88.0,62.0,36.0
106,,,,,,437.0,,690.0,255.0,99.0,35.0,29.0
107,,,,,,415.0,1074.0,180.0,238.0,47.0,41.0,44.0
108,,,,,,,,295.0,114.0,82.0,62.0,31.0
109,,,,,,,,741.0,201.0,31.0,37.0,30.0
110,,,,,,370.0,,625.0,286.0,107.0,62.0,29.0
111,,,,,,,,478.0,435.0,85.0,24.0,32.0
112,,,,,,1005.0,311.0,564.0,264.0,63.0,39.0,42.0
113,,,,,,,,448.0,165.0,233.0,53.0,29.0
114,,,,,,400.0,,1049.0,342.0,104.0,60.0,24.0
115,,,,,,,,358.0,178.0,75.0,42.0,38.0
116,,,,,,,,847.0,495.0,65.0,50.0,32.0
117,,,,,,,,241.0,108.0,60.0,45.0,35.0
118,,,,,,,,1071.0,100.0,84.0,50.0,27.0
119,,,,,,529.0,,97.0,176.0,85.0,37.0,28.0
120,,,,,,,304.0,90.0,407.0,49.0,66.0,42.0
121,,,,,,,254.0,404.0,59.0,104.0,63.0,41.0
122,,,,,,,,1188.0,419.0,118.0,48.0,34.0
123,,,,,,,,410.0,113.0,53.0,56.0,45.0
124,,,,,,,,,447.0,59.0,51.0,29.0
125,,,,,,,,284.0,72.0,81.0,49.0,28.0
126,,,,,,,,462.0,626.0,85.0,56.0,37.0
127,,,,,,,737.0,668.0,726.0,174.0,47.0,28.0
128,,,,,,,,,225.0,57.0,31.0,30.0
129,,,,,,,,199.0,170.0,102.0,87.0,35.0
130,,,,,,,234.0,757.0,62.0,47.0,36.0,23.0
131,,,,,,,1034.0,580.0,403.0,141.0,56.0,27.0
132,,,,,,,1184.0,1009.0,93.0,84.0,70.0,43.0
133,,,,,,,302.0,,88.0,66.0,37.0,26.0
134,,,,,,,385.0,120.0,75.0,79.0,58.0,31.0
135,,,,,,,,280.0,95.0,60.0,41.0,35.0
136,,,,,,,518.0,,153.0,50.0,51.0,37.0
137,,,,,,,589.0,377.0,112.0,74.0,52.0,36.0
138,,,,,,,245.0,830.0,203.0,473.0,30.0,43.0
139,,,,,,,784.0,466.0,118.0,63.0,37.0,31.0
140,,,,,,,186.0,,375.0,109.0,69.0,30.0
141,,,,,,,,901.0,260.0,73.0,90.0,31.0
142,,,,,,,,805.0,376.0,65.0,50.0,31.0
143,,,,,,,568.0,250.0,321.0,144.0,54.0,29.0
144,,,,,,,,580.0,179.0,61.0,63.0,27.0
145,,,,,,,315.0,161.0,178.0,145.0,41.0,36.0
146,,,,,,,,775.0,147.0,72.0,53.0,16.0
147,,,,,,,173.0,308.0,96.0,55.0,66.0,31.0
148,,,,,457.0,,702.0,674.0,179.0,79.0,40.0,25.0
149,,,,,,,,247.0,228.0,79.0,49.0,30.0
150,,,,,,715.0,,162.0,451.0,87.0,43.0,32.0
151,,,,,,,624.0,,246.0,140.0,38.0,33.0
152,,,,,,402.0,,813.0,196.0,47.0,38.0,27.0
153,,,,,,429.0,,267.0,151.0,47.0,39.0,32.0
154,,,,,490.0,,,140.0,231.0,74.0,72.0,32.0
155,,,,,,,434.0,602.0,611.0,101.0,66.0,26.0
156,,,,,,,316.0,570.0,116.0,57.0,45.0,29.0
157,,,,,,,,,89.0,70.0,72.0,31.0
158,,,,,,558.0,,332.0,276.0,181.0,38.0,37.0
159,,,,,,,,,773.0,68.0,104.0,46.0
160,,,,,,,1052.0,389.0,188.0,80.0,49.0,32.0
161,,,,,,,,186.0,157.0,243.0,46.0,32.0
162,,,,,,,,669.0,144.0,120.0,27.0,29.0
163,,,,,,,,881.0,119.0,82.0,58.0,27.0
164,,,,,,,,504.0,110.0,110.0,43.0,26.0
165,,,,,,,,621.0,382.0,121.0,68.0,43.0
166,,,,,,,,445.0,154.0,49.0,44.0,42.0
167,,,,,,,,137.0,315.0,50.0,55.0,33.0
168,,,,,,,,,504.0,85.0,68.0,33.0
169,,,,,,,,946.0,150.0,127.0,43.0,40.0
170,,,,,,,1146.0,229.0,289.0,87.0,48.0,28.0
171,,,,,,,,,116.0,112.0,58.0,37.0
172,,,,,,,746.0,,123.0,70.0,35.0,38.0
173,,,,,,,,920.0,193.0,71.0,45.0,30.0
174,,,,,,,,752.0,77.0,181.0,54.0,33.0
175,,,,,,,,1019.0,101.0,190.0,51.0,35.0
176,,,,,,,,857.0,393.0,75.0,32.0,29.0
177,,,,,,,,696.0,99.0,75.0,60.0,40.0
178,,,,,,,319.0,62.0,310.0,73.0,45.0,21.0
179,,,,,,,252.0,156.0,76.0,86.0,35.0,45.0
180,,,,,,,642.0,222.0,216.0,187.0,54.0,36.0
181,,,,,,,,556.0,386.0,81.0,40.0,28.0
182,,,,,,,1079.0,,500.0,87.0,42.0,34.0
183,,,,,790.0,,794.0,159.0,129.0,193.0,46.0,46.0
184,,,,,,,1096.0,253.0,160.0,66.0,34.0,39.0
185,,,,,,,,718.0,73.0,82.0,65.0,28.0
186,,,,,,,,412.0,66.0,73.0,73.0,32.0
187,,,,,,,,161.0,481.0,120.0,43.0,47.0
188,,,,,,,,184.0,633.0,43.0,57.0,32.0
189,,,,,,,425.0,982.0,165.0,58.0,42.0,41.0
190,,,,,,,,,187.0,89.0,47.0,32.0
191,,,,,,1106.0,,369.0,69.0,98.0,33.0,32.0
192,,,,,,220.0,331.0,115.0,111.0,60.0,31.0,26.0
193,,,,,,,,1065.0,106.0,69.0,50.0,19.0
194,,,,,,,,448.0,315.0,54.0,80.0,30.0
195,,,,,,,,309.0,64.0,127.0,68.0,23.0
196,,,,,,,904.0,500.0,290.0,67.0,40.0,25.0
197,,,,,,,1028.0,834.0,821.0,53.0,48.0,27.0
198,,,,,,,,231.0,102.0,138.0,43.0,26.0
199,,,,,,,,134.0,223.0,82.0,63.0,26.0
200,,,,,,,,,84.0,91.0,45.0,33.0
201,,,,,,1165.0,158.0,339.0,234.0,152.0,59.0,35.0
202,,,,,,,,1034.0,133.0,121.0,38.0,30.0
203,,,,,,,622.0,530.0,63.0,213.0,45.0,31.0
204,,,,,,,192.0,381.0,218.0,79.0,37.0,44.0
205,,,,,,,575.0,512.0,206.0,81.0,85.0,34.0
206,,,,,,,,421.0,175.0,76.0,61.0,27.0
207,,,,,,331.0,,180.0,203.0,131.0,43.0,21.0
208,,,,,,,809.0,,135.0,69.0,52.0,27.0
209,,,,,,,,376.0,589.0,108.0,44.0,37.0
210,,,,,,,,306.0,294.0,101.0,35.0,36.0
211,,,,,,197.0,,250.0,240.0,73.0,106.0,26.0
212,,,,,,,456.0,632.0,309.0,89.0,39.0,28.0
213,,,,,,,294.0,362.0,107.0,43.0,59.0,33.0
214,,,,,,317.0,,1039.0,96.0,64.0,44.0,29.0
215,,,,,,,,717.0,110.0,119.0,74.0,21.0
216,,,,,,463.0,,,119.0,184.0,43.0,42.0
217,,,,,,,498.0,206.0,148.0,92.0,43.0,46.0
218,,,,,,,356.0,1180.0,253.0,91.0,44.0,28.0
219,,,,,,,1000.0,1093.0,101.0,73.0,46.0,33.0
220,,,,,,,,526.0,137.0,104.0,66.0,26.0
221,,,,,,,,,302.0,111.0,60.0,32.0
222,,,,,,732.0,578.0,515.0,247.0,75.0,45.0,33.0
223,,,,,,,,,323.0,58.0,40.0,44.0
224,,,,,,307.0,414.0,97.0,138.0,166.0,46.0,32.0
225,,,,,,,,143.0,229.0,47.0,42.0,29.0
226,,,,,,,680.0,1129.0,466.0,124.0,96.0,38.0
