,type0,type1,type2
227,2.0,2.0,483.0
228,5.0,2.0,438.0
229,15.0,2.0,3.0
230,3.0,2.0,664.0
231,26.0,2.0,276.0
232,5.0,2.0,508.0
233,5.0,2.0,627.0
234,62.0,2.0,597.0
235,80.0,2.0,95.0
236,18.0,2.0,4.0
237,246.0,2.0,784.0
238,147.0,2.0,3.0
239,159.0,2.0,434.0
240,3.0,2.0,234.0
241,4.0,2.0,737.0
242,4.0,2.0,119.0
243,5.0,2.0,645.0
244,373.0,2.0,418.0
245,97.0,2.0,210.0
246,5.0,1.0,333.0
247,3.0,2.0,840.0
248,3.0,2.0,83.0
249,6.0,2.0,3.0
250,253.0,3.0,732.0
251,382.0,2.0,28.0
252,2.0,2.0,581.0
253,5.0,2.0,271.0
254,5.0,2.0,730.0
255,8.0,2.0,140.0
256,97.0,2.0,341.0
257,142.0,2.0,278.0
258,1.0,2.0,439.0
259,147.0,3.0,314.0
260,197.0,2.0,731.0
261,2.0,1.0,77.0
262,91.0,2.0,108.0
263,4.0,2.0,670.0
264,2.0,2.0,131.0
265,473.0,2.0,643.0
266,17.0,2.0,729.0
267,26.0,2.0,628.0
268,13.0,2.0,667.0
269,10.0,2.0,112.0
270,164.0,2.0,134.0
271,101.0,2.0,289.0
272,360.0,2.0,82.0
273,144.0,3.0,957.0
274,1.0,2.0,470.0
275,3.0,3.0,597.0
276,4.0,2.0,387.0
277,4.0,3.0,526.0
278,4.0,2.0,733.0
279,3.0,2.0,106.0
280,4.0,3.0,38.0
281,213.0,1.0,586.0
282,90.0,3.0,45.0
283,82.0,2.0,755.0
284,2.0,3.0,537.0
285,3.0,1.0,711.0
286,14.0,2.0,489.0
287,161.0,1.0,146.0
288,218.0,2.0,5.0
289,12.0,2.0,5.0
290,153.0,2.0,379.0
291,2.0,2.0,828.0
292,60.0,2.0,156.0
293,2.0,2.0,584.0
294,15.0,1.0,317.0
295,34.0,2.0,2.0
296,112.0,1.0,475.0
297,5.0,2.0,1.0
298,45.0,2.0,224.0
299,196.0,2.0,539.0
300,11.0,2.0,177.0
301,39.0,2.0,697.0
302,45.0,2.0,428.0
303,368.0,3.0,4.0
304,3.0,2.0,322.0
305,303.0,2.0,724.0
306,104.0,2.0,539.0
307,3.0,2.0,4.0
308,16.0,2.0,17.0
309,5.0,3.0,558.0
310,9.0,2.0,3.0
311,2.0,2.0,731.0
312,234.0,2.0,814.0
313,3.0,2.0,548.0
314,89.0,2.0,560.0
315,2.0,2.0,436.0
316,313.0,2.0,626.0
317,6.0,2.0,340.0
318,146.0,2.0,499.0
319,2.0,2.0,443.0
320,4.0,3.0,619.0
321,40.0,2.0,250.0
322,34.0,2.0,665.0
323,12.0,2.0,843.0
324,17.0,3.0,344.0
325,5.0,3.0,818.0
326,3.0,2.0,937.0
327,3.0,2.0,580.0
328,158.0,2.0,675.0
329,164.0,2.0,37.0
330,4.0,2.0,230.0
331,250.0,2.0,16.0
332,383.0,2.0,261.0
333,5.0,3.0,699.0
334,221.0,2.0,439.0
335,4.0,2.0,323.0
336,312.0,2.0,592.0
337,3.0,2.0,10.0
338,5.0,3.0,189.0
339,227.0,2.0,428.0
340,93.0,2.0,502.0
341,315.0,2.0,706.0
342,94.0,2.0,505.0
343,5.0,2.0,3.0
344,3.0,2.0,226.0
345,357.0,2.0,72.0
346,84.0,2.0,644.0
347,154.0,3.0,749.0
348,90.0,2.0,26.0
349,3.0,2.0,817.0
350,5.0,2.0,171.0
351,5.0,2.0,531.0
352,165.0,2.0,328.0
353,163.0,2.0,644.0
354,41.0,2.0,445.0
355,83.0,2.0,2.0
356,22.0,2.0,121.0
357,185.0,2.0,660.0
358,22.0,2.0,535.0
359,3.0,2.0,240.0
360,30.0,2.0,867.0
361,320.0,2.0,489.0
362,6.0,3.0,624.0
363,4.0,2.0,449.0
364,317.0,2.0,277.0
365,25.0,2.0,516.0
366,19.0,2.0,93.0
367,3.0,1.0,721.0
368,209.0,2.0,592.0
369,69.0,2.0,208.0
370,348.0,2.0,334.0
371,4.0,2.0,272.0
372,246.0,2.0,647.0
373,193.0,2.0,505.0
374,154.0,2.0,752.0
375,16.0,2.0,617.0
376,4.0,2.0,4.0
377,163.0,2.0,242.0
378,187.0,2.0,6.0
379,4.0,2.0,276.0
380,32.0,2.0,737.0
381,63.0,2.0,554.0
382,96.0,2.0,1.0
383,212.0,2.0,309.0
384,5.0,2.0,5.0
385,1.0,2.0,274.0
386,3.0,1.0,416.0
387,3.0,2.0,8.0
388,4.0,2.0,234.0
389,9.0,2.0,544.0
390,4.0,2.0,763.0
391,32.0,2.0,489.0
392,2.0,2.0,509.0
393,7.0,2.0,508.0
394,3.0,2.0,317.0
395,4.0,1.0,135.0
396,6.0,2.0,403.0
397,2.0,2.0,431.0
398,132.0,2.0,341.0
399,3.0,2.0,504.0
400,7.0,2.0,564.0
401,58.0,2.0,502.0
402,44.0,1.0,753.0
403,221.0,2.0,393.0
404,16.0,2.0,207.0
405,234.0,1.0,534.0
406,50.0,2.0,297.0
407,4.0,2.0,653.0
408,4.0,2.0,775.0
409,253.0,2.0,673.0
410,3.0,2.0,403.0
411,2.0,2.0,7.0
412,2.0,2.0,413.0
413,34.0,3.0,851.0
414,14.0,2.0,136.0
415,82.0,2.0,544.0
416,8.0,2.0,75.0
417,2.0,1.0,258.0
418,4.0,2.0,782.0
419,2.0,2.0,613.0
420,3.0,2.0,21.0
421,8.0,2.0,638.0
422,274.0,1.0,501.0
423,160.0,2.0,729.0
424,118.0,2.0,622.0
425,41.0,2.0,868.0
426,3.0,2.0,2.0
427,103.0,2.0,582.0
428,69.0,2.0,687.0
429,3.0,2.0,11.0
430,410.0,3.0,75.0
431,4.0,1.0,820.0
432,21.0,2.0,722.0
433,436.0,2.0,4.0
434,35.0,2.0,626.0
435,115.0,3.0,319.0
436,6.0,2.0,410.0
437,5.0,2.0,519.0
438,4.0,2.0,604.0
439,2.0,2.0,605.0
440,4.0,2.0,98.0
441,26.0,2.0,681.0
442,190.0,3.0,851.0
443,285.0,2.0,540.0
444,3.0,3.0,309.0
445,317.0,2.0,97.0
446,98.0,2.0,676.0
447,12.0,2.0,183.0
448,5.0,2.0,506.0
449,8.0,2.0,762.0
450,157.0,2.0,799.0
451,3.0,2.0,687.0
452,4.0,3.0,806.0
453,454.0,2.0,172.0
454,142.0,2.0,775.0
455,58.0,2.0,476.0
456,97.0,2.0,497.0
457,93.0,2.0,615.0
458,12.0,2.0,765.0
459,328.0,2.0,160.0
460,6.0,2.0,450.0
461,149.0,2.0,451.0
462,41.0,2.0,107.0
463,211.0,2.0,615.0
464,3.0,2.0,620.0
465,8.0,2.0,544.0
466,308.0,2.0,710.0
467,3.0,2.0,135.0
468,5.0,2.0,215.0
469,4.0,2.0,942.0
470,204.0,2.0,799.0
471,246.0,2.0,195.0
472,36.0,1.0,829.0
473,3.0,2.0,184.0
474,26.0,2.0,485.0
475,5.0,2.0,58.0
476,289.0,2.0,791.0
477,57.0,2.0,122.0
478,5.0,1.0,480.0
479,21.0,2.0,212.0
480,413.0,2.0,4.0
481,92.0,2.0,37.0
482,272.0,2.0,303.0
483,107.0,2.0,677.0
484,4.0,2.0,744.0
485,12.0,2.0,485.0
486,4.0,2.0,380.0
487,2.0,2.0,2.0
488,26.0,2.0,365.0
489,90.0,2.0,64.0
490,103.0,2.0,403.0
491,9.0,2.0,763.0
492,5.0,2.0,661.0
493,374.0,2.0,641.0
494,2.0,2.0,227.0
495,3.0,1.0,414.0
496,4.0,2.0,754.0
497,235.0,2.0,72.0
498,4.0,2.0,176.0
499,80.0,2.0,876.0
500,9.0,2.0,80.0
501,6.0,3.0,680.0
502,374.0,2.0,583.0
503,4.0,2.0,421.0
504,4.0,3.0,552.0
505,326.0,2.0,1.0
506,3.0,1.0,688.0
507,1.0,1.0,672.0
508,114.0,2.0,437.0
509,118.0,2.0,558.0
510,4.0,1.0,49.0
511,3.0,2.0,118.0
512,3.0,3.0,78.0
513,3.0,2.0,6.0
514,239.0,2.0,609.0
515,291.0,2.0,385.0
516,156.0,2.0,843.0
517,34.0,2.0,115.0
518,6.0,2.0,667.0
519,4.0,2.0,107.0
520,5.0,2.0,720.0
521,61.0,3.0,167.0
522,118.0,2.0,857.0
523,8.0,2.0,513.0
524,126.0,2.0,177.0
525,2.0,2.0,834.0
526,2.0,2.0,156.0
527,14.0,3.0,592.0
528,3.0,2.0,733.0
