,type0,type1,type2
456,537.0,,129.0
457,1052.0,,122.0
458,,,176.0
459,590.0,,93.0
460,,,282.0
461,213.0,,31.0
462,,,74.0
463,714.0,,72.0
464,,,69.0
465,,,109.0
466,95.0,,67.0
467,,,70.0
468,,,118.0
469,,,83.0
470,367.0,,136.0
471,333.0,,54.0
472,,,63.0
473,,,28.0
474,,,188.0
475,,,112.0
476,96.0,,59.0
477,213.0,,27.0
478,,,30.0
479,,,110.0
480,174.0,,
481,196.0,,
482,290.0,,95.0
483,770.0,,211.0
484,,,72.0
485,,,61.0
486,,,61.0
487,,,
488,,,157.0
489,796.0,,159.0
490,832.0,,119.0
491,,,287.0
492,,,35.0
493,146.0,,60.0
494,,,37.0
495,,,84.0
496,,,55.0
497,205.0,,111.0
498,,,103.0
499,662.0,,149.0
500,,,106.0
501,,,87.0
502,482.0,,109.0
503,,,87.0
504,,,173.0
505,285.0,,
506,,,20.0
507,,,35.0
508,656.0,,164.0
509,159.0,,147.0
510,,,
511,,,143.0
512,,,239.0
513,,,
514,558.0,,153.0
515,40.0,,60.0
516,165.0,,179.0
517,,,71.0
518,,,39.0
519,,,263.0
520,,,143.0
521,293.0,,77.0
522,591.0,,42.0
523,,,170.0
524,205.0,,80.0
525,,,148.0
526,,,136.0
527,,,269.0
528,,,90.0
529,,,160.0
530,,,61.0
531,,,272.0
532,113.0,,72.0
533,71.0,,
534,,,
535,,,116.0
536,,,87.0
537,,,190.0
538,731.0,,
539,,,48.0
540,,,34.0
541,,,223.0
542,,,111.0
543,,,55.0
544,,,69.0
545,,,64.0
546,223.0,,187.0
547,,,36.0
548,,,24.0
549,,,68.0
550,,,221.0
551,,,20.0
552,,,78.0
553,318.0,,16.0
554,,,330.0
555,,,
556,360.0,,16.0
557,165.0,,156.0
558,514.0,,161.0
559,,,78.0
560,87.0,,46.0
561,,,240.0
562,,,
563,,,51.0
564,,,259.0
565,73.0,,33.0
566,,,
567,,,
568,,,
569,504.0,,81.0
570,,,33.0
571,,,164.0
572,,,42.0
573,690.0,,51.0
574,,,198.0
575,1039.0,,40.0
576,132.0,,300.0
577,357.0,,254.0
578,,,
579,,,181.0
580,,,105.0
581,,,51.0
582,644.0,,141.0
583,469.0,,95.0
584,,,166.0
585,,,38.0
586,541.0,,47.0
587,,,177.0
588,,,126.0
589,241.0,,72.0
590,,,40.0
591,183.0,,
592,498.0,,
593,,,194.0
594,,,
595,166.0,,
596,,,99.0
597,,,74.0
598,,,
599,126.0,,
600,,,
601,,,34.0
602,134.0,,182.0
603,,,
604,,,98.0
605,,,32.0
606,278.0,,181.0
607,1141.0,,
608,1078.0,,179.0
609,649.0,,141.0
610,,,79.0
611,144.0,,68.0
612,1200.0,,89.0
613,141.0,,118.0
614,,,239.0
615,65.0,,237.0
616,,,75.0
617,371.0,,
618,216.0,,82.0
619,,,46.0
620,380.0,,69.0
621,,,31.0
622,,,349.0
623,,,87.0
624,191.0,,
625,466.0,,46.0
626,329.0,,47.0
627,,,93.0
628,198.0,,58.0
629,,,
630,86.0,,88.0
631,,,
632,,,192.0
633,,,100.0
634,,,
635,,,109.0
636,,,57.0
637,,,31.0
638,,,117.0
639,,,282.0
640,482.0,,
641,106.0,,
642,437.0,,121.0
643,,,101.0
644,,,51.0
645,,,90.0
646,275.0,,69.0
647,,,70.0
648,,,27.0
649,,,
650,,,
651,96.0,,27.0
652,988.0,,32.0
653,,,127.0
654,53.0,,85.0
655,828.0,,95.0
656,181.0,,59.0
657,259.0,,49.0
658,,,152.0
659,,,60.0
660,,,122.0
661,,,103.0
662,,,120.0
663,,,83.0
664,,,
665,,,93.0
666,319.0,,21.0
667,,,102.0
668,,,
669,,,58.0
670,,,75.0
671,,,48.0
672,,,79.0
673,42.0,,
674,,,
675,,,
676,114.0,,159.0
677,,,104.0
678,,,210.0
679,769.0,,169.0
680,714.0,,240.0
681,,,57.0
682,1183.0,,177.0
683,353.0,,112.0
684,,,150.0
685,458.0,,118.0
686,,,28.0
687,100.0,,
688,93.0,,66.0
689,,,236.0
690,,,52.0
691,,,
692,,,128.0
693,,,82.0
694,,,65.0
695,,,
696,196.0,,
697,,,35.0
698,,,64.0
699,,,
700,216.0,,37.0
701,352.0,,123.0
702,317.0,,49.0
703,,,36.0
704,783.0,,231.0
705,,,217.0
706,,,249.0
707,,,
708,,,169.0
709,686.0,,75.0
710,,,76.0
711,,,43.0
712,276.0,,46.0
713,,,95.0
714,,,157.0
715,,,131.0
716,,,
717,,,93.0
718,907.0,,92.0
719,,,49.0
720,885.0,,54.0
721,590.0,,217.0
722,,,185.0
723,,,155.0
724,339.0,,79.0
725,62.0,,92.0
726,,,92.0
727,122.0,,43.0
728,701.0,,
729,,,56.0
730,,,97.0
731,,,
732,,,62.0
733,433.0,,137.0
734,,,165.0
735,,,99.0
736,,,260.0
737,,,130.0
738,,,74.0
739,267.0,,26.0
740,146.0,,42.0
741,582.0,,43.0
742,,,65.0
743,,,54.0
744,,,164.0
745,517.0,,37.0
746,,,46.0
747,,,126.0
748,,,
749,,,163.0
750,,,41.0
751,298.0,,140.0
752,,,106.0
753,,,54.0
754,,,74.0
755,,,54.0
756,,,68.0
757,256.0,,77.0
758,367.0,,124.0
759,,,
760,,,
761,,,62.0
762,,,91.0
763,455.0,,
764,176.0,,48.0
765,120.0,,
766,,,80.0
767,,,122.0
768,681.0,,31.0
769,,,130.0
770,,,264.0
771,419.0,,47.0
772,,,
773,,,266.0
774,170.0,,39.0
775,,,35.0
776,269.0,,79.0
777,,,228.0
778,,,100.0
779,985.0,,125.0
780,,,99.0
781,188.0,,
782,85.0,,
783,,,50.0
784,405.0,,95.0
785,,,78.0
786,394.0,,141.0
787,198.0,,63.0
788,,,
789,,,35.0
790,,,114.0
791,274.0,,213.0
792,,,
793,,,144.0
794,75.0,,84.0
795,,,87.0
796,,,107.0
797,,,
798,,,
799,,,114.0
800,,,34.0
801,,,56.0
802,149.0,,117.0
803,103.0,,105.0
804,569.0,,59.0
805,,,321.0
806,,,24.0
807,394.0,,39.0
808,361.0,,72.0
809,,,128.0
810,,,136.0
811,,,67.0
812,,,96.0
813,,,35.0
814,,,178.0
815,,,
816,629.0,,121.0
817,,,244.0
818,292.0,,
819,,,132.0
820,519.0,,60.0
821,,,81.0
822,,,62.0
823,,,60.0
824,,,124.0
825,336.0,,110.0
826,307.0,,243.0
827,100.0,,141.0
828,,,174.0
829,296.0,,50.0
830,577.0,,106.0
831,,,236.0
832,,,137.0
833,,,
834,,,160.0
835,,,54.0
836,108.0,,97.0
837,,,71.0
838,,,165.0
839,,,157.0
840,,,166.0
841,809.0,,69.0
842,86.0,,167.0
843,,,102.0
844,,,94.0
845,,,67.0
846,,,160.0
847,,,85.0
848,,,223.0
849,,,22.0
850,467.0,,246.0
851,,,85.0
852,,,51.0
853,132.0,,187.0
854,,,109.0
855,,,30.0
856,92.0,,52.0
857,,,132.0
858,,,178.0
859,,,
860,,,128.0
861,,,
862,,,128.0
863,87.0,,135.0
864,,,47.0
865,,,117.0
866,,,69.0
867,,,83.0
868,,,51.0
869,,,
870,,,87.0
871,,,
872,384.0,,
873,,,31.0
874,,,35.0
875,198.0,,55.0
876,,,64.0
877,308.0,,
878,,,27.0
879,,,291.0
880,,,33.0
881,,,98.0
882,,,
883,766.0,,55.0
884,330.0,,53.0
885,,,353.0
886,131.0,,84.0
887,111.0,,190.0
888,181.0,,125.0
889,,,63.0
890,,,30.0
891,,,44.0
892,,,32.0
893,,,60.0
894,141.0,,212.0
895,,,40.0
896,189.0,,38.0
897,,,49.0
898,,,35.0
899,,,
900,1175.0,,63.0
901,,,123.0
902,,,36.0
903,,,239.0
904,333.0,,180.0
905,,,245.0
906,,,40.0
907,,,190.0
908,,,264.0
909,,,135.0
910,,,78.0
911,659.0,,99.0
912,,,35.0
913,228.0,,93.0
914,96.0,,
915,,,33.0
916,584.0,,133.0
917,283.0,,
918,90.0,,161.0
919,610.0,,193.0
920,,,115.0
921,775.0,,167.0
922,,,90.0
923,315.0,,149.0
924,143.0,,55.0
925,,,
926,,,33.0
927,,,327.0
928,,,89.0
929,,,128.0
930,166.0,,106.0
931,334.0,,
932,,,141.0
933,,,
934,,,65.0
935,,,35.0
936,391.0,,134.0
937,487.0,,32.0
938,297.0,,171.0
939,39.0,,
940,,,109.0
941,249.0,,245.0
942,73.0,,83.0
943,,,
944,,,120.0
945,,,96.0
946,133.0,,142.0
947,142.0,,54.0
948,,,67.0
949,,,60.0
950,630.0,,45.0
951,530.0,,
952,,,96.0
953,,,412.0
954,,,209.0
955,,,61.0
956,485.0,,137.0
957,,,
958,,,84.0
959,,,116.0
960,,,
961,,,50.0
962,,,77.0
963,,,66.0
964,,,129.0
965,,,41.0
966,,,60.0
967,106.0,,37.0
968,,,99.0
969,,,315.0
970,,,88.0
971,,,
972,,,59.0
973,,,
974,99.0,,34.0
975,,,45.0
976,,,43.0
977,,,85.0
978,,,43.0
979,,,40.0
980,,,102.0
981,698.0,,97.0
982,,,94.0
983,357.0,,
984,439.0,,43.0
985,,,
986,,,215.0
987,356.0,,67.0
988,688.0,,71.0
989,663.0,,189.0
990,,,59.0
991,,,113.0
992,1009.0,,30.0
993,618.0,,194.0
994,318.0,,
995,,,144.0
996,,,40.0
997,,,
998,,,
999,646.0,,110.0
1000,,,345.0
1001,,,
1002,511.0,,160.0
1003,,,109.0
1004,,,88.0
1005,,,250.0
1006,,,91.0
1007,,,89.0
1008,,,
1009,,,77.0
1010,1121.0,,144.0
1011,365.0,,67.0
1012,349.0,,60.0
1013,,,58.0
1014,,,59.0
1015,,,118.0
1016,,,162.0
1017,,,102.0
1018,240.0,,64.0
1019,367.0,,110.0
1020,,,
1021,,,159.0
1022,,,46.0
1023,127.0,,54.0
1024,145.0,,52.0
1025,,,246.0
1026,287.0,,119.0
1027,522.0,,104.0
1028,,,92.0
1029,138.0,,151.0
1030,,,146.0
1031,,,
1032,,,227.0
1033,,,
1034,,,61.0
1035,,,
1036,328.0,,142.0
1037,357.0,,131.0
1038,,,60.0
1039,,,
1040,,,124.0
1041,,,529.0
1042,,,244.0
1043,125.0,,99.0
1044,1145.0,,221.0
1045,,,85.0
1046,,,78.0
1047,,,66.0
1048,383.0,,34.0
1049,,,35.0
1050,,,76.0
1051,,,158.0
1052,,,125.0
1053,,,257.0
1054,491.0,,279.0
1055,,,16.0
1056,504.0,,99.0
1057,,,55.0
1058,,,67.0
1059,,,196.0
1060,,,70.0
1061,,,
1062,,,60.0
1063,467.0,,228.0
1064,,,63.0
1065,79.0,,96.0
1066,583.0,,60.0
1067,,,215.0
1068,,,76.0
1069,297.0,,264.0
1070,,,82.0
1071,,,
1072,80.0,,135.0
1073,523.0,,139.0
1074,,,33.0
1075,,,
1076,,,
1077,534.0,,132.0
1078,,,77.0
1079,1131.0,,28.0
1080,1110.0,,139.0
1081,,,402.0
1082,252.0,,171.0
1083,,,
1084,652.0,,54.0
1085,,,89.0
1086,322.0,,
1087,,,
1088,132.0,,149.0
1089,240.0,,47.0
1090,,,57.0
1091,,,44.0
1092,,,104.0
1093,50.0,,132.0
1094,,,119.0
1095,,,73.0
1096,,,113.0
1097,,,140.0
1098,,,77.0
1099,,,76.0
1100,,,97.0
1101,966.0,,178.0
1102,,,45.0
1103,,,67.0
1104,512.0,,55.0
1105,,,79.0
1106,,,20.0
1107,,,99.0
1108,,,53.0
1109,227.0,,89.0
1110,,,168.0
1111,,,
1112,,,300.0
1113,,,111.0
1114,632.0,,
1115,,,198.0
1116,,,33.0
1117,,,51.0
1118,,,27.0
1119,,,61.0
1120,,,119.0
1121,223.0,,
1122,114.0,,25.0
1123,53.0,,
1124,97.0,,115.0
1125,,,106.0
1126,,,82.0
1127,,,
1128,127.0,,193.0
1129,,,
1130,,,96.0
1131,680.0,,68.0
1132,,,71.0
1133,,,109.0
1134,,,130.0
1135,,,102.0
1136,,,81.0
1137,,,36.0
1138,,,33.0
1139,,,50.0
1140,,,326.0
1141,,,62.0
1142,,,35.0
1143,,,369.0
1144,,,125.0
1145,,,35.0
1146,,,
1147,,,
1148,,,62.0
1149,,,43.0
1150,,,167.0
1151,,,152.0
1152,,,113.0
1153,,,144.0
1154,472.0,,130.0
1155,,,133.0
1156,,,64.0
1157,,,76.0
1158,,,52.0
1159,361.0,,28.0
1160,314.0,,
1161,,,173.0
1162,226.0,,44.0
1163,343.0,,160.0
1164,,,
1165,,,113.0
1166,,,127.0
1167,,,77.0
1168,217.0,,68.0
1169,,,187.0
1170,,,
1171,,,111.0
1172,,,137.0
1173,773.0,,128.0
1174,458.0,,30.0
1175,551.0,,172.0
1176,393.0,,94.0
1177,,,54.0
1178,,,128.0
1179,,,35.0
1180,,,147.0
1181,920.0,,151.0
1182,485.0,,28.0
1183,130.0,,216.0
1184,,,154.0
1185,489.0,,91.0
1186,457.0,,39.0
1187,366.0,,30.0
1188,272.0,,82.0
1189,,,43.0
1190,,,37.0
1191,,,64.0
1192,,,83.0
1193,,,114.0
1194,209.0,,140.0
1195,,,49.0
1196,,,100.0
1197,,,
1198,,,205.0
1199,,,
1200,204.0,,
1201,,,153.0
1202,,,81.0
1203,,,109.0
1204,60.0,,84.0
1205,,,106.0
1206,,,117.0
1207,,,52.0
1208,,,49.0
1209,122.0,,79.0
1210,,,74.0
1211,,,51.0
1212,,,
1213,,,301.0
1214,,,18.0
1215,,,
1216,,,27.0
1217,,,257.0
1218,,,61.0
1219,,,
1220,,,
1221,279.0,,49.0
1222,,,71.0
1223,,,306.0
1224,,,25.0
1225,,,70.0
1226,,,27.0
1227,,,28.0
1228,599.0,,104.0
1229,853.0,,205.0
1230,,,27.0
1231,477.0,,180.0
1232,,,89.0
1233,,,326.0
1234,,,63.0
1235,560.0,,196.0
1236,,,103.0
1237,,,68.0
1238,,,
1239,218.0,,90.0
1240,,,
1241,,,82.0
1242,439.0,,89.0
1243,,,35.0
1244,,,
1245,157.0,,22.0
1246,827.0,,31.0
1247,483.0,,154.0
1248,,,49.0
1249,,,39.0
1250,,,35.0
1251,,,63.0
1252,154.0,,
1253,1173.0,,46.0
1254,,,46.0
1255,,,30.0
1256,465.0,,48.0
1257,400.0,,
1258,327.0,,61.0
1259,,,123.0
1260,664.0,,80.0
1261,,,151.0
1262,289.0,,
1263,,,105.0
1264,,,59.0
1265,,,36.0
1266,,,73.0
1267,,,30.0
1268,361.0,,245.0
1269,277.0,,
1270,,,
1271,,,77.0
1272,,,106.0
1273,169.0,,31.0
1274,116.0,,140.0
1275,217.0,,148.0
1276,,,63.0
1277,,,101.0
1278,,,32.0
1279,,,
1280,288.0,,69.0
1281,,,57.0
1282,206.0,,211.0
1283,,,91.0
1284,423.0,,52.0
1285,105.0,,105.0
1286,101.0,,91.0
1287,,,38.0
1288,,,124.0
1289,,,240.0
1290,,,187.0
1291,,,54.0
1292,753.0,,56.0
1293,312.0,,55.0
1294,,,252.0
1295,,,
1296,122.0,,
1297,,,241.0
1298,,,219.0
1299,,,26.0
1300,,,119.0
1301,,,76.0
1302,,,79.0
1303,,,
1304,942.0,,
1305,,,73.0
1306,,,85.0
1307,550.0,,55.0
1308,,,102.0
1309,,,262.0
1310,234.0,,250.0
1311,,,41.0
1312,,,67.0
1313,235.0,,77.0
1314,,,119.0
1315,,,49.0
1316,441.0,,
1317,,,82.0
1318,,,80.0
1319,,,102.0
1320,,,103.0
1321,222.0,,113.0
1322,,,40.0
1323,,,80.0
1324,527.0,,222.0
1325,,,68.0
1326,131.0,,33.0
1327,,,145.0
1328,,,106.0
1329,,,228.0
1330,,,34.0
1331,,,122.0
1332,,,45.0
1333,,,177.0
1334,,,118.0
1335,343.0,,96.0
1336,,,38.0
1337,,,107.0
1338,,,100.0
1339,686.0,,63.0
1340,95.0,,163.0
1341,39.0,,279.0
1342,,,38.0
1343,,,81.0
1344,,,162.0
1345,459.0,,97.0
1346,,,153.0
1347,,,
1348,,,57.0
1349,,,317.0
1350,786.0,,193.0
1351,,,170.0
1352,,,112.0
1353,,,121.0
1354,,,42.0
1355,,,68.0
1356,,,218.0
1357,,,52.0
1358,,,120.0
1359,1036.0,,72.0
1360,307.0,,139.0
1361,,,
1362,,,84.0
1363,,,93.0
1364,,,81.0
1365,,,51.0
1366,,,
1367,687.0,,116.0
1368,1171.0,,100.0
1369,693.0,,
1370,,,77.0
1371,,,166.0
1372,,,54.0
1373,114.0,,26.0
1374,,,21.0
1375,240.0,,65.0
1376,,,84.0
1377,,,
1378,814.0,,278.0
1379,206.0,,29.0
1380,263.0,,
1381,,,48.0
1382,,,23.0
1383,,,70.0
1384,833.0,,67.0
1385,,,49.0
1386,,,
1387,831.0,,170.0
1388,,,94.0
1389,1010.0,,
1390,101.0,,
1391,,,25.0
1392,,,
1393,,,58.0
1394,650.0,,43.0
1395,430.0,,12.0
1396,418.0,,295.0
1397,195.0,,40.0
1398,,,
1399,505.0,,138.0
1400,242.0,,
1401,,,
1402,,,196.0
1403,,,133.0
1404,,,122.0
1405,155.0,,72.0
1406,,,46.0
1407,,,52.0
1408,188.0,,61.0
1409,,,143.0
1410,798.0,,127.0
1411,,,101.0
1412,189.0,,36.0
1413,,,37.0
1414,95.0,,142.0
1415,181.0,,102.0
1416,,,139.0
1417,,,116.0
1418,500.0,,
1419,,,
1420,,,68.0
1421,30.0,,37.0
1422,,,58.0
1423,,,
1424,,,82.0
1425,,,59.0
1426,,,106.0
1427,,,125.0
1428,,,163.0
1429,,,213.0
1430,,,142.0
1431,,,88.0
1432,,,52.0
1433,874.0,,85.0
1434,,,64.0
1435,35.0,,
1436,,,110.0
1437,338.0,,113.0
1438,,,30.0
1439,,,
1440,99.0,,40.0
1441,472.0,,61.0
1442,,,76.0
1443,177.0,,254.0
1444,,,71.0
1445,365.0,,208.0
1446,,,69.0
1447,,,
1448,301.0,,182.0
1449,72.0,,102.0
1450,109.0,,219.0
1451,,,153.0
1452,230.0,,90.0
1453,859.0,,24.0
1454,,,54.0
1455,,,101.0
1456,454.0,,99.0
1457,,,30.0
1458,,,87.0
1459,,,79.0
1460,,,
1461,,,107.0
1462,382.0,,236.0
1463,,,100.0
1464,,,
1465,715.0,,198.0
1466,,,51.0
1467,,,185.0
1468,167.0,,186.0
1469,,,171.0
1470,,,98.0
1471,460.0,,105.0
1472,,,116.0
1473,111.0,,269.0
1474,,,312.0
1475,606.0,,98.0
1476,,,142.0
1477,,,178.0
1478,181.0,,133.0
1479,588.0,,161.0
1480,,,53.0
1481,,,123.0
1482,,,183.0
1483,262.0,,156.0
1484,,,22.0
1485,568.0,,110.0
1486,,,41.0
1487,274.0,,112.0
1488,111.0,,75.0
1489,155.0,,119.0
1490,,,40.0
1491,,,69.0
1492,,,143.0
1493,,,95.0
1494,,,28.0
1495,,,56.0
1496,135.0,,81.0
1497,1098.0,,28.0
1498,,,46.0
1499,985.0,,171.0
