,type0,type1,type2
225,0.0,0.0,554.0
226,0.0,0.0,273.0
227,0.0,0.0,483.0
228,0.0,0.0,438.0
229,0.0,0.0,0.0
230,0.0,0.0,664.0
231,0.0,0.0,276.0
232,0.0,0.0,508.0
233,0.0,0.0,631.0
234,62.0,0.0,597.0
235,80.0,0.0,95.0
236,0.0,0.0,0.0
237,246.0,0.0,784.0
238,147.0,0.0,0.0
239,159.0,0.0,434.0
240,0.0,0.0,234.0
241,0.0,0.0,737.0
242,0.0,0.0,119.0
243,0.0,0.0,645.0
244,373.0,0.0,418.0
245,97.0,0.0,210.0
246,0.0,0.0,333.0
247,0.0,0.0,840.0
248,0.0,0.0,138.0
249,0.0,0.0,0.0
250,253.0,0.0,796.0000000000001
251,382.0,0.0,0.0
252,0.0,0.0,581.0
253,0.0,0.0,271.0
254,0.0,0.0,826.0
255,0.0,0.0,140.0
256,97.0,0.0,341.0
257,142.0,0.0,278.0
258,0.0,0.0,439.0
259,147.0,0.0,314.0
260,208.00000000000003,0.0,731.0
261,0.0,0.0,77.0
262,91.0,0.0,108.0
263,0.0,0.0,670.0
264,0.0,0.0,131.0
265,473.0,0.0,648.0
266,0.0,0.0,729.0
267,0.0,0.0,752.0
268,0.0,0.0,686.0
269,0.0,0.0,112.0
270,169.0,0.0,134.0
271,101.0,0.0,289.0
272,360.0,0.0,82.0
273,144.0,0.0,1030.0
274,0.0,0.0,470.0
275,0.0,0.0,715.0
276,0.0,0.0,387.0
277,0.0,0.0,526.0
278,0.0,0.0,924.0
279,0.0,0.0,106.0
280,0.0,0.0,0.0
281,249.0,0.0,586.0
282,90.0,0.0,0.0
283,82.0,0.0,755.0
284,0.0,0.0,537.0
285,0.0,0.0,711.0
286,0.0,0.0,505.00000000000006
287,161.0,0.0,146.0
288,218.0,0.0,0.0
289,0.0,0.0,0.0
290,161.0,0.0,411.0
291,0.0,0.0,828.0
292,60.0,0.0,156.0
293,0.0,0.0,584.0
294,0.0,0.0,317.0
295,0.0,0.0,0.0
296,128.0,0.0,580.0
297,0.0,0.0,0.0
298,0.0,0.0,224.0
299,196.0,0.0,539.0
300,0.0,0.0,177.0
301,0.0,0.0,697.0
302,0.0,0.0,428.0
303,368.0,0.0,0.0
304,0.0,0.0,322.0
305,309.0,0.0,724.0
306,104.0,0.0,539.0
307,0.0,0.0,0.0
308,0.0,0.0,0.0
309,0.0,0.0,558.0
310,0.0,0.0,0.0
311,0.0,0.0,731.0
312,234.0,0.0,814.0
313,0.0,0.0,548.0
314,89.0,0.0,560.0
315,0.0,0.0,436.0
316,331.99999999999994,0.0,626.0
317,0.0,0.0,342.0
318,146.0,0.0,582.0
319,0.0,0.0,443.0
320,0.0,0.0,661.0
321,0.0,0.0,283.0
322,0.0,0.0,665.0
323,0.0,0.0,843.0
324,0.0,0.0,423.0
325,0.0,0.0,818.0
326,0.0,0.0,937.0
327,0.0,0.0,580.0
328,158.0,0.0,675.0
329,164.0,0.0,0.0
330,0.0,0.0,230.0
331,250.0,0.0,0.0
332,383.0,0.0,261.0
333,0.0,0.0,699.0
334,221.0,0.0,439.0
335,0.0,0.0,323.0
336,312.0,0.0,622.0
337,0.0,0.0,0.0
338,0.0,0.0,189.0
339,227.0,0.0,428.0
340,93.0,0.0,502.0
341,315.0,0.0,712.0
342,94.0,0.0,505.0
343,0.0,0.0,0.0
344,0.0,0.0,226.0
345,359.0,0.0,72.0
346,84.0,0.0,644.0
347,154.0,0.0,749.0
348,146.0,0.0,0.0
349,0.0,0.0,817.0
350,0.0,0.0,171.0
351,0.0,0.0,531.0
352,165.0,0.0,328.0
353,163.0,0.0,817.0
354,0.0,0.0,445.0
355,83.0,0.0,0.0
356,0.0,0.0,121.0
357,185.0,0.0,752.0
358,0.0,0.0,535.0
359,0.0,0.0,240.0
360,0.0,0.0,867.0
361,320.0,0.0,489.0
362,0.0,0.0,624.0
363,0.0,0.0,567.0
364,317.0,0.0,277.0
365,0.0,0.0,516.0
366,0.0,0.0,93.0
367,0.0,0.0,721.0
368,209.0,0.0,592.0
369,69.0,0.0,277.0
370,359.99999999999994,0.0,334.0
371,0.0,0.0,407.0
372,246.0,0.0,647.0
373,267.0,0.0,505.0
374,154.0,0.0,752.0
375,0.0,0.0,617.0
376,0.0,0.0,0.0
377,163.0,0.0,331.0
378,187.0,0.0,0.0
379,0.0,0.0,368.0
380,0.0,0.0,737.0
381,63.00000000000001,0.0,554.0
382,96.0,0.0,0.0
383,212.0,0.0,309.0
384,0.0,0.0,0.0
385,0.0,0.0,376.0
386,0.0,0.0,416.0
