,width1,width2,width4,width7,width10,width13,width16,width25,width34,width49,width70,width100
63,75.0,15.0,10.0,11.0,6.0,9.0,751.0,83.0,37.0,134.0,274.0,150.0
64,46.0,54.0,13.0,15.0,11.0,13.0,77.0,80.0,32.0,347.0,54.0,207.0
65,15.0,14.0,27.0,34.0,14.0,28.0,23.0,57.0,42.0,42.0,687.0,176.0
66,61.0,52.0,30.0,8.0,17.0,9.0,477.0,43.0,553.0,104.0,442.0,340.0
67,18.0,19.0,47.0,28.0,117.0,56.0,22.0,67.0,145.0,218.0,351.0,332.0
68,33.0,14.0,52.0,13.0,31.0,27.0,139.0,377.0,229.0,56.0,1101.0,99.0
69,16.0,39.0,524.0,17.0,26.0,10.0,795.0,22.0,89.0,740.0,388.0,44.0
70,32.0,10.0,37.0,38.0,34.0,31.0,287.0,50.0,517.0,,393.0,147.0
71,69.0,28.0,34.0,28.0,52.0,14.0,55.0,18.0,35.0,80.0,438.0,83.0
72,103.0,23.0,55.0,8.0,59.0,14.0,45.0,104.0,678.0,114.0,219.0,900.0
73,23.0,301.0,51.0,13.0,30.0,15.0,18.0,34.0,53.0,41.0,513.0,40.0
74,7.0,24.0,45.0,19.0,6.0,8.0,580.0,81.0,90.0,154.0,40.0,760.0
75,20.0,38.0,24.0,29.0,7.0,10.0,439.0,407.0,616.0,254.0,164.0,338.0
76,47.0,121.0,34.0,28.0,15.0,16.0,8.0,83.0,159.0,357.0,106.0,720.0
77,17.0,35.0,10.0,343.0,9.0,16.0,174.0,47.0,367.0,34.0,422.0,168.0
78,55.0,14.0,15.0,20.0,138.0,19.0,145.0,26.0,181.0,76.0,506.0,274.0
79,97.0,31.0,29.0,10.0,10.0,30.0,18.0,34.0,59.0,33.0,213.0,122.0
80,114.0,13.0,27.0,50.0,14.0,12.0,12.0,7.0,490.0,82.0,136.0,131.0
81,29.0,27.0,264.0,679.0,12.0,534.0,20.0,44.0,52.0,77.0,,768.0
82,21.0,165.0,46.0,9.0,15.0,34.0,54.0,91.0,541.0,69.0,262.0,323.0
83,53.0,19.0,40.0,41.0,24.0,15.0,25.0,52.0,8.0,141.0,137.0,168.0
84,22.0,120.0,23.0,7.0,191.0,14.0,54.0,100.0,61.0,97.0,114.0,115.0
85,18.0,12.0,307.0,6.0,53.0,128.0,97.0,260.0,105.0,299.0,,301.0
86,152.0,55.0,10.0,13.0,12.0,147.0,40.0,61.0,99.0,790.0,1144.0,136.0
87,33.0,17.0,12.0,67.0,10.0,78.0,9.0,32.0,83.0,178.0,77.0,358.0
88,24.0,362.0,339.0,145.0,17.0,12.0,531.0,66.0,548.0,59.0,76.0,345.0
89,73.0,100.0,20.0,16.0,13.0,8.0,14.0,553.0,418.0,21.0,124.0,68.0
90,16.0,18.0,71.0,36.0,18.0,59.0,20.0,31.0,836.0,165.0,305.0,706.0
91,62.0,20.0,29.0,7.0,6.0,50.0,49.0,54.0,17.0,559.0,543.0,993.0
92,99.0,73.0,18.0,43.0,272.0,24.0,43.0,471.0,89.0,49.0,154.0,226.0
93,110.0,223.0,173.0,34.0,13.0,26.0,8.0,236.0,109.0,140.0,290.0,105.0
94,96.0,31.0,24.0,85.0,25.0,16.0,22.0,13.0,54.0,196.0,117.0,117.0
95,73.0,256.0,322.0,83.0,17.0,9.0,44.0,77.0,116.0,170.0,1103.0,589.0
96,46.0,19.0,256.0,40.0,169.0,18.0,26.0,52.0,391.0,127.0,180.0,89.0
97,10.0,27.0,18.0,15.0,13.0,50.0,39.0,23.0,60.0,195.0,62.0,266.0
98,23.0,74.0,22.0,244.0,61.0,465.0,4.0,31.0,555.0,1038.0,640.0,204.0
99,47.0,36.0,33.0,44.0,142.0,18.0,578.0,235.0,120.0,95.0,,336.0
100,157.0,25.0,5.0,31.0,22.0,8.0,139.0,108.0,26.0,194.0,76.0,237.0
101,29.0,17.0,641.0,13.0,20.0,38.0,11.0,247.0,24.0,110.0,158.0,684.0
102,9.0,33.0,19.0,114.0,17.0,6.0,8.0,156.0,76.0,133.0,108.0,326.0
103,15.0,28.0,17.0,93.0,18.0,15.0,11.0,62.0,27.0,208.0,73.0,32.0
104,23.0,8.0,31.0,62.0,118.0,13.0,11.0,35.0,20.0,129.0,1170.0,293.0
105,12.0,19.0,196.0,345.0,19.0,93.0,41.0,21.0,40.0,71.0,151.0,64.0
106,45.0,15.0,75.0,5.0,17.0,251.0,14.0,216.0,78.0,283.0,78.0,193.0
107,37.0,147.0,54.0,33.0,28.0,10.0,16.0,86.0,15.0,345.0,223.0,522.0
108,71.0,26.0,34.0,54.0,17.0,20.0,30.0,54.0,696.0,155.0,49.0,148.0
109,18.0,24.0,43.0,410.0,9.0,17.0,57.0,162.0,39.0,44.0,474.0,130.0
110,20.0,22.0,54.0,116.0,69.0,24.0,15.0,51.0,54.0,114.0,234.0,252.0
111,12.0,29.0,70.0,14.0,75.0,869.0,83.0,43.0,139.0,264.0,77.0,98.0
112,23.0,83.0,10.0,6.0,161.0,18.0,19.0,63.0,23.0,48.0,115.0,234.0
113,71.0,66.0,34.0,70.0,43.0,23.0,113.0,455.0,16.0,203.0,229.0,135.0
114,32.0,35.0,22.0,4.0,24.0,18.0,17.0,25.0,71.0,97.0,531.0,38.0
115,,57.0,21.0,54.0,7.0,20.0,21.0,19.0,19.0,149.0,133.0,359.0
