,width1,width2,width4,width7,width10,width13,width16,width25,width34,width49,width70,width100
69,71.0,85.0,833.0,36.0,34.0,71.0,,62.0,146.0,,,834.0
70,144.0,39.0,173.0,67.0,135.0,53.0,352.0,74.0,686.0,,489.0,
71,160.0,48.0,151.0,37.0,159.0,23.0,610.0,102.0,58.0,372.0,,524.0
72,190.0,84.0,,19.0,115.0,61.0,103.0,339.0,930.0,778.0,304.0,
73,81.0,493.0,73.0,27.0,51.0,38.0,41.0,522.0,610.0,954.0,,
74,49.0,99.0,365.0,48.0,18.0,37.0,679.0,131.0,296.0,,165.0,
75,107.0,93.0,92.0,694.0,15.0,26.0,488.0,,650.0,498.0,,1002.0
76,98.0,160.0,89.0,58.0,42.0,39.0,17.0,249.0,299.0,,462.0,
77,112.0,71.0,36.0,591.0,20.0,28.0,493.0,,442.0,267.0,,
78,127.0,67.0,50.0,123.0,225.0,34.0,176.0,39.0,283.0,342.0,957.0,
79,154.0,82.0,48.0,29.0,21.0,68.0,74.0,55.0,118.0,333.0,440.0,
80,273.0,88.0,52.0,382.0,25.0,38.0,23.0,40.0,609.0,,,422.0
81,99.0,74.0,443.0,722.0,26.0,768.0,47.0,220.0,708.0,,,
82,80.0,265.0,229.0,49.0,27.0,193.0,,299.0,568.0,131.0,,537.0
83,142.0,151.0,78.0,66.0,39.0,30.0,50.0,78.0,148.0,869.0,218.0,
84,79.0,191.0,107.0,48.0,288.0,50.0,106.0,861.0,211.0,438.0,876.0,1087.0
85,64.0,91.0,438.0,54.0,115.0,294.0,447.0,312.0,,,,
86,191.0,113.0,23.0,67.0,38.0,176.0,64.0,939.0,131.0,,,
87,858.0,62.0,67.0,102.0,26.0,117.0,26.0,65.0,127.0,375.0,967.0,
88,64.0,511.0,390.0,,31.0,43.0,,236.0,1038.0,,,
89,152.0,934.0,49.0,44.0,26.0,59.0,100.0,719.0,651.0,202.0,711.0,258.0
90,199.0,94.0,317.0,82.0,33.0,657.0,44.0,59.0,915.0,357.0,674.0,
91,122.0,74.0,642.0,66.0,38.0,83.0,168.0,117.0,158.0,,,
92,130.0,126.0,58.0,267.0,381.0,97.0,91.0,493.0,199.0,119.0,,450.0
93,510.0,967.0,233.0,266.0,41.0,64.0,57.0,333.0,221.0,212.0,,
94,318.0,94.0,557.0,133.0,38.0,33.0,64.0,96.0,163.0,735.0,835.0,
95,130.0,805.0,458.0,415.0,26.0,19.0,97.0,269.0,489.0,555.0,,
96,134.0,73.0,663.0,65.0,,47.0,117.0,91.0,,887.0,,
97,155.0,145.0,53.0,49.0,32.0,148.0,99.0,167.0,233.0,406.0,,
98,352.0,272.0,127.0,462.0,192.0,513.0,13.0,116.0,1064.0,,,
99,115.0,76.0,109.0,59.0,194.0,44.0,,321.0,490.0,406.0,,
100,228.0,157.0,91.0,47.0,40.0,14.0,200.0,149.0,44.0,,199.0,796.0
101,109.0,78.0,1090.0,30.0,51.0,78.0,36.0,,129.0,898.0,275.0,
102,86.0,73.0,39.0,294.0,80.0,18.0,41.0,350.0,230.0,207.0,1152.0,
103,60.0,77.0,40.0,141.0,31.0,103.0,33.0,106.0,61.0,512.0,843.0,
104,145.0,88.0,129.0,124.0,278.0,27.0,1026.0,51.0,87.0,247.0,,734.0
105,44.0,59.0,262.0,408.0,63.0,191.0,333.0,281.0,91.0,202.0,755.0,
106,153.0,47.0,104.0,35.0,36.0,926.0,26.0,,112.0,,272.0,
107,135.0,492.0,157.0,102.0,44.0,20.0,34.0,409.0,78.0,,1023.0,
108,191.0,145.0,64.0,78.0,58.0,47.0,153.0,518.0,1081.0,,386.0,
109,71.0,68.0,66.0,582.0,21.0,393.0,342.0,277.0,148.0,126.0,,
110,88.0,50.0,84.0,167.0,88.0,55.0,129.0,101.0,419.0,174.0,667.0,435.0
111,57.0,63.0,120.0,40.0,112.0,988.0,,,169.0,540.0,420.0,
112,50.0,153.0,53.0,15.0,182.0,43.0,86.0,616.0,241.0,414.0,,483.0
113,187.0,101.0,119.0,463.0,366.0,446.0,476.0,976.0,42.0,968.0,1153.0,
114,86.0,67.0,66.0,51.0,35.0,31.0,81.0,45.0,,146.0,,450.0
115,,103.0,69.0,67.0,18.0,35.0,46.0,103.0,55.0,470.0,843.0,
116,54.0,45.0,113.0,76.0,52.0,424.0,736.0,55.0,40.0,580.0,382.0,
117,95.0,60.0,102.0,113.0,55.0,22.0,209.0,233.0,265.0,,210.0,
118,108.0,125.0,114.0,34.0,60.0,105.0,163.0,146.0,136.0,516.0,,
119,74.0,1043.0,39.0,55.0,15.0,183.0,410.0,98.0,94.0,293.0,190.0,
120,770.0,59.0,99.0,82.0,13.0,101.0,485.0,359.0,49.0,,406.0,192.0
121,253.0,118.0,72.0,58.0,50.0,210.0,29.0,432.0,264.0,130.0,745.0,876.0
122,120.0,111.0,376.0,16.0,32.0,54.0,47.0,85.0,255.0,513.0,,881.0
123,172.0,150.0,52.0,86.0,20.0,,91.0,404.0,96.0,383.0,,210.0
124,649.0,78.0,,71.0,54.0,29.0,66.0,84.0,537.0,341.0,,
